canonical_drug	TF	datasets	dataset_n	direction_n	direction	min_FDR	mean_c_index	drug_name	replicated
CID:46926350	PHC2	CTRPv2	1	1	higher TF activity -> resistance	8.38406557752921e-126	0.326797385620915	Dinaciclib	FALSE
CID:46926350	CREBRF	CTRPv2	1	1	higher TF activity -> resistance	1.47862970428813e-53	0.300653594771242	Dinaciclib	FALSE
CID:5287969	MXD4	CTRPv2	1	1	higher TF activity -> resistance	8.62704788343492e-25	0.321052631578947	Alvocidib	FALSE
CID:148124	CSRNP1	CTRPv2	1	1	higher TF activity -> resistance	3.62346497602682e-21	0.357142857142857	Docetaxel	FALSE
CID:23661650	WWC2	CTRPv2	1	1	higher TF activity -> resistance	9.98332448039185e-21	0.30718954248366	Neopeltolide	FALSE
CID:2946601	CREBRF	CTRPv2	1	1	higher TF activity -> sensitivity	8.77263366103983e-15	0.841176470588235	JW-55	FALSE
CID:148124	MAGED2	CTRPv2	1	1	higher TF activity -> resistance	7.45039377324967e-13	0.266666666666667	Docetaxel	FALSE
CID:2946601	ZNF678	CTRPv2	1	1	higher TF activity -> sensitivity	1.82115926486836e-11	0.629411764705882	JW-55	FALSE
CID:5287969	FOXD2	CTRPv2	1	1	higher TF activity -> resistance	8.90520645971516e-11	0.278947368421053	Alvocidib	FALSE
NAME:BRDK29086754	CRY2	CTRPv2	1	1	higher TF activity -> resistance	2.95554553795913e-10	0.340579710144928	BRD-K29086754	FALSE
CID:44566777	ZNF540	CTRPv2	1	1	higher TF activity -> sensitivity	7.77096936682165e-07	0.723809523809524	Avicin D	FALSE
CID:23661650	ZNF33A	CTRPv2	1	1	higher TF activity -> sensitivity	1.3599626098252e-06	0.712418300653595	Neopeltolide	FALSE
CID:9926054	WWC2	CTRPv2	1	1	higher TF activity -> resistance	2.99965021988479e-05	0.340852130325815	BMS-345541 free base	FALSE
CID:5287969	MAGED2	CTRPv2	1	1	higher TF activity -> resistance	3.08005573430392e-05	0.331578947368421	Alvocidib	FALSE
CID:46926350	MXD4	CTRPv2	1	1	higher TF activity -> resistance	6.69188864183349e-05	0.372549019607843	Dinaciclib	FALSE
CID:6918638	NR3C2	CTRPv2	1	1	higher TF activity -> resistance	7.6248431522419e-05	0.376190476190476	Belinostat	FALSE
CID:5287969	CRY2	CTRPv2	1	1	higher TF activity -> resistance	0.000153996317761469	0.336842105263158	Alvocidib	FALSE
NAME:BRDK55116708	PHC2	CTRPv2	1	1	higher TF activity -> sensitivity	0.00020581717094763	0.690014903129657	BRD-K55116708	FALSE
CID:6450551	MXD4	CTRPv2	1	1	higher TF activity -> resistance	0.00020581717094763	0.347402597402597	Axitinib	FALSE
CID:6918837	WWC2	CTRPv2	1	1	higher TF activity -> resistance	0.000220190020114443	0.306390977443609	Panobinostat	FALSE
CID:6450551	NR3C2	CTRPv2	1	1	higher TF activity -> resistance	0.000305814308358569	0.338961038961039	Axitinib	FALSE
NAME:BRDK71935468	FOXD2	CTRPv2	1	1	higher TF activity -> sensitivity	0.000312233997887392	0.697435897435897	BRD-K71935468	FALSE
CID:45279963	FOXD2	CTRPv2	1	1	higher TF activity -> resistance	0.000321705316999331	0.380952380952381	Skepinone-L	FALSE
CID:5287969	PHC2	CTRPv2	1	1	higher TF activity -> resistance	0.000329218521950978	0.363157894736842	Alvocidib	FALSE
CID:6918638	PHC2	CTRPv2	1	1	higher TF activity -> resistance	0.000514587618657564	0.319047619047619	Belinostat	FALSE
CID:49846579	CREBRF	CTRPv2	1	1	higher TF activity -> sensitivity	0.000522680720508187	0.646191646191646	Venetoclax	FALSE
CID:148124	MXD4	CTRPv2	1	1	higher TF activity -> resistance	0.000541027102205313	0.323809523809524	Docetaxel	FALSE
CID:53232	ZNF19	CTRPv2	1	1	higher TF activity -> resistance	0.000705462857858985	0.320280537697253	Lovastatin	FALSE
CID:3062316	XBP1	CTRPv2	1	1	higher TF activity -> resistance	0.000902352326398834	0.319111630625365	Dasatinib	FALSE
CID:3385	NFATC4	CTRPv2	1	1	higher TF activity -> resistance	0.0010911444628614	0.350683148991542	5-Fluorouracil	FALSE
CID:15983966	ZNF341	CTRPv2	1	1	higher TF activity -> resistance	0.00215966534417687	0.328752642706131	Gsk-461364	FALSE
CID:10302451	ZNF281	CTRPv2	1	1	higher TF activity -> resistance	0.00215966534417687	0.333959899749373	Saracatinib	FALSE
CID:36314	MAGED2	CTRPv2	1	1	higher TF activity -> resistance	0.0022545038360103	0.330634278002699	Paclitaxel	FALSE
CID:9926054	PHC2	CTRPv2	1	1	higher TF activity -> resistance	0.00274170933895777	0.335839598997494	BMS-345541 free base	FALSE
NAME:BRDK71935468	ABHD14B	CTRPv2	1	1	higher TF activity -> sensitivity	0.00274170933895777	0.658119658119658	BRD-K71935468	FALSE
CID:6450551	ZBTB18	CTRPv2	1	1	higher TF activity -> resistance	0.00308530181079631	0.361688311688312	Axitinib	FALSE
NAME:SNX21122501	NR3C2	CTRPv2	1	1	higher TF activity -> resistance	0.00353499406170648	0.366606170598911	SNX-2112:bortezomib (250:1 mol/mol)	FALSE
CID:119607	ELF3	CTRPv2	1	1	higher TF activity -> resistance	0.00368190475257846	0.354509803921569	Valdecoxib	FALSE
CID:15983966	ZNF678	CTRPv2	1	1	higher TF activity -> resistance	0.00377098643823433	0.346723044397463	Gsk-461364	FALSE
NAME:BRDK50799972	PHC2	CTRPv2	1	1	higher TF activity -> sensitivity	0.00417165184530902	0.67578659370725	BRD-K50799972	FALSE
CID:12003241	FOXA3	CTRPv2	1	1	higher TF activity -> resistance	0.00473348702632071	0.353246753246753	Pluripotin	FALSE
CID:4261	WWC2	CTRPv2	1	1	higher TF activity -> resistance	0.00544617041889238	0.350803633822502	Entinostat	FALSE
CID:11175137	ELF3	CTRPv2	1	1	higher TF activity -> resistance	0.00577163848685931	0.343815513626834	AT7867	FALSE
CID:11364421	NR3C2	CTRPv2	1	1	higher TF activity -> resistance	0.00577163848685931	0.355932203389831	BI-2536	FALSE
CID:24772860	NR3C2	CTRPv2	1	1	higher TF activity -> resistance	0.00583190727212599	0.331710286062082	Snx-2112	FALSE
CID:6918638	CSRNP1	CTRPv2	1	1	higher TF activity -> resistance	0.00583190727212599	0.342857142857143	Belinostat	FALSE
NAME:BRDK35604418	PHC2	CTRPv2	1	1	higher TF activity -> resistance	0.00583190727212599	0.343012704174229	BRD-K35604418	FALSE
CID:49843203	ETV1	CTRPv2	1	1	higher TF activity -> sensitivity	0.00583190727212599	0.655873015873016	ML239	FALSE
CID:1317464	PHC2	CTRPv2	1	1	higher TF activity -> sensitivity	0.00583190727212599	0.650840029218408	SJ-172550	FALSE
NAME:ML312	CRY2	CTRPv2	1	1	higher TF activity -> sensitivity	0.00699352865545143	0.777777777777778	ML312	FALSE
CID:25227462	MAGED2	CTRPv2	1	1	higher TF activity -> resistance	0.00735600346959826	0.314285714285714	PF-03758309	FALSE
CID:15983966	NR3C2	CTRPv2	1	1	higher TF activity -> resistance	0.00735600346959826	0.322410147991543	Gsk-461364	FALSE
CID:6450551	FOXD2	CTRPv2	1	1	higher TF activity -> resistance	0.00735600346959826	0.345454545454545	Axitinib	FALSE
CID:5472285	ELF3	CTRPv2	1	1	higher TF activity -> resistance	0.00735600346959826	0.362987012987013	Oligomycin A	FALSE
NAME:BRDK99006945	XBP1	CTRPv2	1	1	higher TF activity -> sensitivity	0.00752211046100364	0.710144927536232	BRD-K99006945	FALSE
CID:216468	XBP1	CTRPv2	1	1	higher TF activity -> resistance	0.00807983629713686	0.358922558922559	Indisulam	FALSE
CID:5472285	ZNF341	CTRPv2	1	1	higher TF activity -> resistance	0.00808809258979876	0.345454545454545	Oligomycin A	FALSE
NAME:1S3RRSL3	ZNF254	CTRPv2	1	1	higher TF activity -> sensitivity	0.00811459175165323	0.653962492437992	1S,3R-RSL-3	FALSE
CID:23635314	MAGED2	CTRPv2	1	1	higher TF activity -> resistance	0.00811459175165323	0.34978229317852	KX2-391	FALSE
NAME:ML312	ETV1	CTRPv2	1	1	higher TF activity -> sensitivity	0.008601871075366	0.734567901234568	ML312	FALSE
NAME:BRDK29086754	ELF3	CTRPv2	1	1	higher TF activity -> resistance	0.008601871075366	0.326086956521739	BRD-K29086754	FALSE
CID:15983966	ZNF254	CTRPv2	1	1	higher TF activity -> resistance	0.008601871075366	0.326638477801269	Gsk-461364	FALSE
