TF	sensitivity_pairs	resistance_pairs	replicated_pairs	prognosis_calls	significant_endpoint_n	best_prognostic_p
ABHD14B	0	0	0	favorable	1	0.0363581176524605
CREB3L2	0	0	0	not nominally prognostic		
CREBRF	0	0	0	favorable	2	0.024874032955252
CRY2	0	0	0	favorable	2	0.00385387648964209
CSRNP1	0	0	0	favorable	1	0.0237532717606073
E2F5	0	0	0	favorable	1	0.036818723300147
ELF3	0	0	0	adverse	1	0.0274963532439569
ETV1	0	0	0	favorable	2	0.025007881483475
FOXA3	0	0	0	not nominally prognostic		
FOXD2	0	0	0	not nominally prognostic		
MAGED2	0	0	0	not nominally prognostic		
MXD4	0	0	0	favorable	1	0.0134352141631694
NCOA7	0	0	0	favorable	1	0.0110969258452718
NFATC4	0	0	0	not nominally prognostic		
NR3C2	0	0	0	favorable	1	0.0393325918096555
PHC2	0	0	0	not nominally prognostic		
WWC2	0	1	1	not nominally prognostic		
XBP1	0	0	0	not nominally prognostic		
ZBTB18	0	0	0	favorable	1	0.007632969250092
ZNF117	0	0	0	not nominally prognostic		
ZNF141	0	0	0	favorable	1	0.0411614255685895
ZNF19	0	0	0	not nominally prognostic		
ZNF254	0	3	3	favorable	1	0.00659569434136507
ZNF281	0	0	0	not nominally prognostic		
ZNF33A	0	0	0	not nominally prognostic		
ZNF33B	0	0	0	not nominally prognostic		
ZNF341	0	0	0	not nominally prognostic		
ZNF444	0	0	0	not nominally prognostic		
ZNF540	0	1	1	favorable	2	0.00941301779161423
ZNF678	0	0	0	not nominally prognostic		
ZNF75D	0	0	0	favorable	1	0.000484917758509776
