sample_id	state_score	LUAD_features	LUSC_features	patient_id	tissue	tissue_name	group	system	source	prediction	classifier_threshold
X-1156	-0.177368463503483	158	193	X-1156	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-1172	0.551034531868312	158	193	X-1172	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1323	0.887190101685304	158	193	X-1323	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1442	1.16447645359891	158	193	X-1442	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1499	-0.179879434085302	158	193	X-1499	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-1586	-0.921751825627476	158	193	X-1586	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-1658	0.772567659319988	158	193	X-1658	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1683	1.02191004986988	158	193	X-1683	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1725	0.275467059692809	158	193	X-1725	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1787	1.24203606033279	158	193	X-1787	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1795	-1.97871158571009	158	193	X-1795	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-1823	-0.19555386785452	158	193	X-1823	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-1834	-1.53102827181439	158	193	X-1834	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-1835	2.4934584852671	158	193	X-1835	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1934	0.0325873744285976	158	193	X-1934	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1979	-1.46958682363752	158	193	X-1979	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-1980	1.40872586422523	158	193	X-1980	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-1993	-0.735763525405799	158	193	X-1993	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-2017	0.875010866370884	158	193	X-2017	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-2042	-1.56126178582275	158	193	X-2042	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-2082	1.18539029306782	158	193	X-2082	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-2088	0.321108853300172	158	193	X-2088	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-2094	0.905821852049241	158	193	X-2094	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUAD-like	-0.135415884395273
X-3029	-0.606632655553398	158	193	X-3029	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-3237	-1.47412098323187	158	193	X-3237	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-3843	-1.87687093870853	158	193	X-3843	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
X-4819	-0.428255344121906	158	193	X-4819	NSCLC	Non-small Cell Lung Carcinoma	NSCLC	PDXE_v2_PDX	Xeva PDXE v2 / Zenodo 10.5281/zenodo.19354439	LUSC-like	-0.135415884395273
