method	cohort	n	LUAD_n	LUSC_n	AUC	balanced_accuracy	accuracy	score_LUAD_median	score_LUSC_median	threshold
HC_cohort_row_z	TCGA	1017	516	501	0.979691779232233	0.934682959662071	0.935103244837758	0.738279844497956	-0.716538865699712	-0.16992031145323
HC_cohort_row_z	PDMR	56	22	34	0.970588235294118	0.874331550802139	0.857142857142857	0.703192706186289	-0.56754725753971	-0.16992031145323
HC_cohort_row_z	DepMap	103	76	27	0.752923976608187	0.676656920077973	0.699029126213592	0.0202723630305455	-0.322530835467477	-0.16992031145323
cohort_robust_z_signature	TCGA	1017	516	501	0.979950950811555	0.939643967878197	0.940019665683382	1.22484563433088	-1.42371258446029	-0.274230326989478
cohort_robust_z_signature	PDMR	56	22	34	0.973262032085561	0.838235294117647	0.803571428571429	1.57169145148775	-0.950609751769452	-0.274230326989478
cohort_robust_z_signature	DepMap	103	76	27	0.749025341130604	0.684454191033138	0.728155339805825	0.142763834640645	-0.421123051279664	-0.274230326989478
cohort_row_z_centroid	TCGA	1017	516	501	0.982151975119528	0.943519936870445	0.943952802359882	1.57064234620184	-1.59024804570728	-0.307621367622319
cohort_row_z_centroid	PDMR	56	22	34	0.954545454545455	0.88903743315508	0.875	1.40013347178385	-1.39152305980733	-0.307621367622319
cohort_row_z_centroid	DepMap	103	76	27	0.748538011695906	0.697612085769981	0.747572815533981	0.229503637167812	-0.419776120190241	-0.307621367622319
cohort_row_z_signature	TCGA	1017	516	501	0.980144362437915	0.939731003110059	0.940019665683382	1.42142730482606	-1.51038126939756	-0.131897668640406
cohort_row_z_signature	PDMR	56	22	34	0.970588235294118	0.903743315508022	0.892857142857143	1.3616962938279	-1.26171538773706	-0.131897668640406
cohort_row_z_signature	DepMap	103	76	27	0.751461988304094	0.689814814814815	0.718446601941748	0.171073912012873	-0.364741908762171	-0.131897668640406
within_sample_rank	TCGA	1017	516	501	0.982438224326541	0.947715035046187	0.947885939036382	0.137355202798587	-0.132883403188014	0.0132998910927032
within_sample_rank	PDMR	56	22	34	0.981283422459893	0.545454545454545	0.642857142857143	-0.0581993993597571	-0.341061351110524	0.0132998910927032
within_sample_rank	DepMap	103	76	27	0.750974658869396	0.5	0.262135922330097	-0.107768720504274	-0.153905811689383	0.0132998910927032
