panel	source_key	source	source_page_1based	crop_top	source_format
Figure1A	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	36	0.01,0.075,0.397,0.375	pdf
Figure1B	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	36	0.395,0.045,0.64,0.43	pdf
Figure1C	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	36	0.63,0.045,0.995,0.42	pdf
Figure1D	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	36	0,0.405,0.35,0.855	pdf
Figure1E	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	36	0.35,0.405,0.79,0.855	pdf
Figure2A	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	37	0.005,0.045,0.445,0.21	pdf
Figure2B	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	37	0.005,0.22,0.215,0.435	pdf
Figure2D	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	37	0.215,0.22,0.435,0.435	pdf
Figure2E	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	37	0.485,0.045,0.995,0.454	pdf
Figure2C	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	37	0.005,0.49,0.995,0.995	pdf
Figure3A	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	38	0.005,0.045,0.435,0.365	pdf
Figure3B	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	38	0.428,0.045,0.995,0.365	pdf
Figure3C	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	38	0.005,0.385,0.44,0.785	pdf
Figure3D	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	38	0.42,0.365,0.995,0.674	pdf
Figure3E	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	38	0.44,0.678,0.995,0.802	pdf
Figure3F	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	38	0.005,0.76,0.44,0.995	pdf
Figure3G	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	38	0.465,0.805,0.995,0.995	pdf
Figure4A	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.005,0.04,0.255,0.33	pdf
Figure4B	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.25,0.04,0.5,0.33	pdf
Figure4C	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.5,0.04,0.75,0.33	pdf
Figure4D	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.745,0.04,0.995,0.33	pdf
Figure4E	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.005,0.33,0.5,0.45	pdf
Figure4G	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.505,0.33,0.995,0.45	pdf
Figure4F	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.005,0.455,0.5,0.995	pdf
Figure4H	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	39	0.505,0.455,0.995,0.995	pdf
Figure5A	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.04,0.34,0.222	pdf
Figure5B	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.34,0.04,0.655,0.222	pdf
Figure5C	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.67,0.04,0.995,0.225	pdf
Figure5D	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.225,0.342,0.425	pdf
Figure5E	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.44,0.342,0.556	pdf
Figure5F	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.345,0.225,0.995,0.557	pdf
Figure5G	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.005,0.555,0.342,0.82	pdf
Figure5H	MAIN_ARTICLE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/TNBC TF s41467-026-76385-8_reference.pdf	40	0.335,0.555,0.995,0.815	pdf
SupplementaryFigure1A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	1	0.005,0.01,0.5,0.995	pdf
SupplementaryFigure1B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	1	0.52,0.01,0.995,0.995	pdf
SupplementaryFigure2A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.005,0.355,0.2517	pdf
SupplementaryFigure2B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.345,0.005,0.995,0.245	pdf
SupplementaryFigure2C	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.255,0.355,0.56	pdf
SupplementaryFigure2D	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.41,0.25,0.7,0.56	pdf
SupplementaryFigure2E	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.7,0.25,0.995,0.56	pdf
SupplementaryFigure2F	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.595,0.995,0.995	pdf
SupplementaryFigure2A_secondary_GSE81089	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.005,0.005,0.355,0.2517	pdf
SupplementaryFigure2B_secondary_GSE81089	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	3	0.345,0.005,0.995,0.245	pdf
SupplementaryFigure3A	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.005,0.005,0.326,0.185	pdf
SupplementaryFigure3B	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.33,0.005,0.643,0.185	pdf
SupplementaryFigure3C	SUPPLEMENT_PDF	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/uploads/41467_2026_76385_MOESM1_ESM.pdf	5	0.665,0.005,0.995,0.185	pdf
