panel	filename	bytes	sha256	official_block_ids
Figure4A	Figure4A.pdf	12595	769912e2adaebd2b1017477335614259ad7a2ba63d20fbf7155675eacb662a02	fig4_forest
Figure4B	Figure4B.pdf	12712	292c271fa22adaa7b5935e2b91e7680e2c5190f58f11fccda6969fff415652bf	fig4_forest
Figure4C	Figure4C.pdf	13388	4f28a543459dc768db02449e0a23d6724850e488286ca418907aa65cdf916f64	fig4_forest
Figure4D	Figure4D.pdf	12415	8eaf7a65271b994501b129b0fd7668fca795b9a73ed415cfb759f432379434d4	fig4_forest
Figure4E_protective	Figure4E_protective.pdf	17475	92ddd481c56d49cbdc3500b25a9cc04893f614efb967c873c1457a3299a759e0	fig4_euler
Figure4E_risk	Figure4E_risk.pdf	10632	1df8be5785a40ed1e397b233316ac1a517b4ddfb1852b93ac373c8458abc9053	fig4_euler
Figure4F_ETV1_OS	Figure4F_ETV1_OS.pdf	23916	7b25d84826cdda6c17fa7380725bb5b1ea4ecf074387ca9705eb610597d0d814	fig4_km
Figure4F_ETV1_RFS	Figure4F_ETV1_RFS.pdf	23942	acfeb45faa4edce5540adea7d9a8dca58d234bc39c260fcdd5ae978e3d24f649	fig4_km
Figure4F_ZNF444_OS	Figure4F_ZNF444_OS.pdf	23829	fcb3c4617bcdb4c885b4d3bdd39e5a0b00629a7f1bbe6f4eb92990fdec04ab9b	fig4_km
Figure4F_ZNF444_RFS	Figure4F_ZNF444_RFS.pdf	23798	66a7cc2603d421506225be9a61b1b32f079ef4a8f8fa360a8df410b78c198233	fig4_km
Figure4G_protective	Figure4G_protective.pdf	17425	f214752ffab3f11b3b887ffc92a74c8cb907fad4141525303021fb099637ae71	fig4_euler
Figure4G_risk	Figure4G_risk.pdf	14261	93b8b993f5f7335ee1d433c95c5b985d30aa05d61025df7d962a9beeccd4ab48	fig4_euler
Figure4H_CREBRF_DFS	Figure4H_CREBRF_DFS.pdf	24084	c5c20c4526ff1981ab900c3c2b8bf48489bafc2e100c37bf4787381aa363bea3	fig4_km
Figure4H_CREBRF_OS	Figure4H_CREBRF_OS.pdf	25136	64fd0b41378f772946da15046d7147afcb886c1f5b5402559ad09e0902cbc6e1	fig4_km
Figure4H_PHC2_DFS	Figure4H_PHC2_DFS.pdf	23972	c826d022c5d985781bc6128368bf0d87baffff746e05555f7ce74db8592001f2	fig4_km
Figure4H_PHC2_OS	Figure4H_PHC2_OS.pdf	25175	4d3f9cae4af8b308b72b1c3e01584705279fcd82211f6e926f158f0fb283964a	fig4_km
Figure5A	Figure5A.pdf	533388	cfa1553a1f2f1e33aa3d908af2f1d4a0a9f64e3b627563eca6641d39e6e64a93	fig5_ci
Figure5B	Figure5B.pdf	98228	0751c8df15c03780feb6addf47765b66663369866df54ce760dc9590e1ef803c	fig5_ci
Figure5C	Figure5C.pdf	297431	5b7438245a91efc2b925e513b33dcd1ce918fd4edb55c981b49ad90c1c592ee7	fig5_ci
Figure5D	Figure5D.pdf	13174	96781f8387e11b8e6ec218b3297b56a62912e71ff81db80a33f1781ff49dbb37	fig5_upset
Figure5E	Figure5E.pdf	15532	b35c8e08edb874e8fd98cdff6aec369ea5727a3af80707d11fa33d77430d9071	fig5e_grid
Figure5F_low	Figure5F_Concordance_Index_Low_Sig_PI3K_MAPK_EGFR_Kinase.pdf	23480	c403cc542bd183509ea20232dcff6e4840093751108c593b3285b5617e41dd1b	fig5f_low
SupplementaryFigure5A	SupplementaryFigure5A_Skewness_PDX_CellLines.pdf	15863	24381c397c35e4b64c0d6e1fc91d2b58d0c0323a032b77ba61ae1a54fa5ca068	supp5a_skew
SupplementaryFigure5B_heatmap	SupplementaryFigure5B_ESTIMATE_Combined_Heatmap_HC-TR.pdf	23465	21b5007b20c59760f07d961da83970f5560752e05791a7c51764d7efadad12b8	supp5b_heatmap
SupplementaryFigure5B_volcano	SupplementaryFigure5B_volcano.pdf	28801	3917a7940ced8ac325444cc05de148e427a885531284ef0984ffd96c4f68ca38	supp5b_volcano
SupplementaryFigure6A	SupplementaryFigure6A.pdf	13602	925a52940f4607ff08f100d9d5e1d65d45c41d861f0451f7c1e64c2a7f786fa8	supp6a_uni_gse_os
SupplementaryFigure6B	SupplementaryFigure6B.pdf	13401	ed961b2345714a9754b16ac5bcc76d277d285f8b7727c8b9bbce588f25fd154d	supp6b_uni_gse_rfs
SupplementaryFigure6C	SupplementaryFigure6C.pdf	13984	90d81906dd54c1d17247f5521aa2b9fe7b711b257b7194e07733573c7653d564	supp6c_uni_tcga_os
SupplementaryFigure6D	SupplementaryFigure6D.pdf	13216	a121c3add3718291a340f4726e63a5c5a7bbe47eb2537844b27155301b31de93	supp6d_uni_tcga_rfs
SupplementaryFigure6E	SupplementaryFigure6E.pdf	13334	b55334f8fd2c2ef742733f556a7040d660bad01d067a610ec43746413f376536	supp6e_multi_gse_os
SupplementaryFigure6F	SupplementaryFigure6F.pdf	13541	cf4b01136ebc384aeb9bbba3ed21de0802b9d92b2b740424718c2da61f70d804	supp6f_multi_gse_rfs
SupplementaryFigure6G	SupplementaryFigure6G.pdf	13894	921483c702bf81184d4f7be295a9f470a7b2b8d764048069ef250e50a07dbee2	supp6g_multi_tcga_os
