panel	status	official_block_ids	output	note
Figure4A	RENDERED_OFFICIAL_BLOCK	fig4_forest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4A.pdf	3 significant TFs
Figure4B	RENDERED_OFFICIAL_BLOCK	fig4_forest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4B.pdf	4 significant TFs
Figure4C	RENDERED_OFFICIAL_BLOCK	fig4_forest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4C.pdf	10 significant TFs
Figure4D	RENDERED_OFFICIAL_BLOCK	fig4_forest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4D.pdf	2 significant TFs
Figure4E_risk	RENDERED_OFFICIAL_BLOCK	fig4_euler	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4E_risk.pdf	""
Figure4E_protective	RENDERED_OFFICIAL_BLOCK	fig4_euler	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4E_protective.pdf	""
Figure4G_risk	RENDERED_OFFICIAL_BLOCK	fig4_euler	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4G_risk.pdf	""
Figure4G_protective	RENDERED_OFFICIAL_BLOCK	fig4_euler	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4G_protective.pdf	""
Figure4F_ETV1_OS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4F_ETV1_OS.pdf	Frozen cutpoint 0.48639271
Figure4F_ETV1_RFS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4F_ETV1_RFS.pdf	Frozen cutpoint 0.16755023
Figure4F_ZNF444_OS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4F_ZNF444_OS.pdf	Frozen cutpoint -0.055195513
Figure4F_ZNF444_RFS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4F_ZNF444_RFS.pdf	Frozen cutpoint 1.3288057
Figure4H_CREBRF_OS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4H_CREBRF_OS.pdf	Frozen cutpoint 5.5213724
Figure4H_CREBRF_DFS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4H_CREBRF_DFS.pdf	Frozen cutpoint 5.4757672
Figure4H_PHC2_OS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4H_PHC2_OS.pdf	Frozen cutpoint 9.2686118
Figure4H_PHC2_DFS	RENDERED_OFFICIAL_BLOCK	fig4_km	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure4H_PHC2_DFS.pdf	Frozen cutpoint 9.4311761
SupplementaryFigure6A	RENDERED_OFFICIAL_BLOCK	supp6a_uni_gse_os	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6A.pdf	""
SupplementaryFigure6B	RENDERED_OFFICIAL_BLOCK	supp6b_uni_gse_rfs	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6B.pdf	""
SupplementaryFigure6C	RENDERED_OFFICIAL_BLOCK	supp6c_uni_tcga_os	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6C.pdf	""
SupplementaryFigure6D	RENDERED_OFFICIAL_BLOCK	supp6d_uni_tcga_rfs	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6D.pdf	""
SupplementaryFigure6E	RENDERED_OFFICIAL_BLOCK	supp6e_multi_gse_os	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6E.pdf	""
SupplementaryFigure6F	RENDERED_OFFICIAL_BLOCK	supp6f_multi_gse_rfs	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6F.pdf	""
SupplementaryFigure6G	RENDERED_OFFICIAL_BLOCK	supp6g_multi_tcga_os	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6G.pdf	""
SupplementaryFigure6H	RENDERED_OFFICIAL_BLOCK	supp6h_multi_tcga_rfs	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/SupplementaryFigure6H.pdf	""
Figure5A	RENDERED_OFFICIAL_BLOCK	fig5_ci	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure5A.pdf	PRISM; n=23591 tests
Figure5B	RENDERED_OFFICIAL_BLOCK	fig5_ci	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure5B.pdf	GDSC2; n=3627 tests
Figure5C	RENDERED_OFFICIAL_BLOCK	fig5_ci	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure5C.pdf	CTRPv2; n=11867 tests
Figure5D	RENDERED_OFFICIAL_BLOCK	fig5_upset	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig45-v2-p0fix-20260821-r2/results/atomic/Figure5D.pdf	""
