TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.690050003375685	0.414559496980194	1.14861439824048	0.153577036666453	0.153577036666453	No
CREB3L2	0.812535985943578	0.499787669536257	1.32099042992778	0.402458131055081	0.402458131055081	No
CREBRF	0.888773559925718	0.539052970360095	1.46538185346675	0.643949979600231	0.643949979600231	No
CRY2	0.530738400756172	0.30845742470708	0.913199772398781	0.0221433626800142	0.0221433626800142	Yes
CSRNP1	0.559277949718351	0.337960791195231	0.925526964044982	0.0237532717606073	0.0237532717606073	Yes
E2F5	0.757978744481193	0.465061254691138	1.23538947029	0.266218061322376	0.266218061322376	No
ELF3	1.22873220732221	0.7544763708621	2.00110022741435	0.407796261141035	0.407796261141035	No
ETV1	0.585945466448897	0.351949621549223	0.975514870965695	0.0398517782809812	0.0398517782809812	Yes
FOXA3	0.754191585504362	0.457350485813664	1.24369595154935	0.268981036307781	0.268981036307781	No
FOXD2	0.70803540444344	0.423797623990327	1.18290926038044	0.187339520699069	0.187339520699069	No
MAGED2	0.932225687988853	0.574851579487481	1.51177236761027	0.776018203407852	0.776018203407852	No
MXD4	1.0044761813452	0.596262678568355	1.69216091356316	0.986608861809468	0.986608861809468	No
NCOA7	0.762519114227901	0.462058456704864	1.25835896113528	0.288774041137411	0.288774041137411	No
NFATC4	1.01439461251352	0.619845091019173	1.66008643902389	0.954650530633744	0.954650530633744	No
NR3C2	0.71244476204437	0.430852685359172	1.17807676779669	0.186400071996587	0.186400071996587	No
PHC2	0.924787751333649	0.571012085603735	1.4977483079233	0.750600319248731	0.750600319248731	No
WWC2	0.677702753305248	0.416387759904634	1.10301278294709	0.117477805008721	0.117477805008721	No
XBP1	0.845652485292905	0.521735751817575	1.37067111730559	0.496271763327905	0.496271763327905	No
ZBTB18	0.854349988205144	0.518032746279732	1.40901112446661	0.537445920748974	0.537445920748974	No
ZNF117	1.13123143044436	0.687035879072387	1.86261676894222	0.627933493320064	0.627933493320064	No
ZNF141	0.712490631811966	0.429118728158519	1.18298938524139	0.190067841868461	0.190067841868461	No
ZNF19	0.840385836778492	0.493244672739495	1.43184182960429	0.522418348571404	0.522418348571404	No
ZNF254	1.23910884381014	0.763686284874613	2.01049928120757	0.385283951471768	0.385283951471768	No
ZNF281	1.15389888976677	0.697913961898128	1.90780342634746	0.576849365992749	0.576849365992749	No
ZNF33A	0.802016912346252	0.480694049422367	1.33812999861838	0.398259413227267	0.398259413227267	No
ZNF33B	0.834033176684673	0.507200431818459	1.37147229413185	0.474508390342033	0.474508390342033	No
ZNF341	1.39123236542703	0.849929822717574	2.27727918573678	0.189097323172888	0.189097323172888	No
ZNF444	1.19948197277532	0.706891779228206	2.0353285259362	0.500181309927482	0.500181309927482	No
ZNF540	0.621925189356649	0.365468201833023	1.05834362392223	0.0799608685964623	0.0799608685964623	No
ZNF678	0.990351601057169	0.60634432567851	1.61755664591892	0.969104142956834	0.969104142956834	No
ZNF75D	0.736302472200631	0.442912686013896	1.2240365825777	0.237830994513218	0.237830994513218	No
