TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.580703070522863	0.349060956187762	0.966066385073704	0.0363581176524605	0.0363581176524605	Yes
CREB3L2	0.980935192208925	0.593208993511714	1.62208237204509	0.940206566904989	0.940206566904989	No
CREBRF	0.871213835916184	0.526232054791828	1.44235521378881	0.591966551937298	0.591966551937298	No
CRY2	0.882297121077626	0.518719847053163	1.50071028568545	0.644025896918288	0.644025896918288	No
CSRNP1	0.759113083391924	0.463881579197645	1.24224090633975	0.272748886983646	0.272748886983646	No
E2F5	0.656951504909085	0.398286941876784	1.08360389062373	0.0998670247709996	0.0998670247709996	No
ELF3	1.113048015356	0.672972473096299	1.84090127607738	0.676530643022687	0.676530643022687	No
ETV1	0.557005419475788	0.333900900734225	0.929182990052346	0.025007881483475	0.025007881483475	Yes
FOXA3	1.07077578331386	0.651839120469681	1.75896282092621	0.787133922456287	0.787133922456287	No
FOXD2	0.640735043390592	0.384311620291107	1.06825132042005	0.0878573710072214	0.0878573710072214	No
MAGED2	0.805220723853709	0.492406937964432	1.31675726748254	0.387945777620818	0.387945777620818	No
MXD4	0.834614938618589	0.501424457471449	1.38920646048657	0.486788370958189	0.486788370958189	No
NCOA7	0.976304172754362	0.59283596021745	1.60781379960143	0.924934692563953	0.924934692563953	No
NFATC4	1.01703756524083	0.620037660074568	1.66822997329969	0.946653280700598	0.946653280700598	No
NR3C2	0.788961441020965	0.477757942260594	1.30287767163556	0.354350934538298	0.354350934538298	No
PHC2	1.2735291594395	0.779554352785097	2.08051755999851	0.334282076867357	0.334282076867357	No
WWC2	0.89084596808028	0.547199920326762	1.45030455847104	0.642050748638461	0.642050748638461	No
XBP1	0.782447493035497	0.477108726373584	1.28319614694734	0.331046889387588	0.331046889387588	No
ZBTB18	0.628604673187354	0.375885674483873	1.05123409051316	0.0768069973899283	0.0768069973899283	No
ZNF117	1.00626906328958	0.603780776514623	1.67706138903409	0.980868634163761	0.980868634163761	No
ZNF141	0.584809210025098	0.349443958508675	0.978702890127911	0.0411614255685895	0.0411614255685895	Yes
ZNF19	0.972485831856109	0.574300258914522	1.64674955039787	0.91731185065355	0.91731185065355	No
ZNF254	0.790234456039693	0.477963656925157	1.30652296772876	0.358764765265372	0.358764765265372	No
ZNF281	1.17318425896933	0.708871081999228	1.94162428182521	0.534355626367249	0.534355626367249	No
ZNF33A	0.874373643990303	0.525678439513283	1.45436679886043	0.605072093547013	0.605072093547013	No
ZNF33B	0.840412960472243	0.512091123361661	1.37923488986335	0.491536473506171	0.491536473506171	No
ZNF341	1.17832584564875	0.719578146941936	1.92953580431048	0.514318605514304	0.514318605514304	No
ZNF444	1.24427255598399	0.731516178982456	2.11644559349119	0.420008973725945	0.420008973725945	No
ZNF540	0.475821114637648	0.271630959053259	0.833504891799252	0.00941301779161423	0.00941301779161423	Yes
ZNF678	1.04419469163849	0.639074181653598	1.70612831083984	0.862938230462797	0.862938230462797	No
ZNF75D	0.674756455272893	0.405384747422868	1.12312137254022	0.130199861161424	0.130199861161424	No
