TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.732809756324737	0.538677332839565	0.996905023149838	0.0477367705506037	0.0477367705506037	Yes
CREB3L2	0.820783047761911	0.602804556203779	1.11758413993406	0.209819588993172	0.209819588993172	No
CREBRF	0.642851426824712	0.471390286479362	0.87667898305041	0.00524673158261891	0.00524673158261891	Yes
CRY2	0.598318463508323	0.437704622247383	0.817868867678153	0.00127909715287402	0.00127909715287402	Yes
CSRNP1	0.716960277931751	0.525678007471172	0.977845815929751	0.0356009082310162	0.0356009082310162	Yes
E2F5	0.696549248097027	0.512163023010526	0.947317227574553	0.0211704546548034	0.0211704546548034	Yes
ELF3	0.790310191332678	0.580389831076649	1.07615634368654	0.135173976252907	0.135173976252907	No
ETV1	0.816950059104604	0.599277681083327	1.11368639303324	0.200944346757201	0.200944346757201	No
FOXA3	0.912107982342904	0.671549370951745	1.23883813676213	0.555913925034894	0.555913925034894	No
FOXD2	0.891981936792011	0.65683230309827	1.21131645293668	0.464093272557978	0.464093272557978	No
MAGED2	0.730959490335226	0.537818791111742	0.993460595541226	0.0452984346413823	0.0452984346413823	Yes
MXD4	0.647606667063415	0.474538386206181	0.883794456709689	0.0061697788032468	0.0061697788032468	Yes
NCOA7	0.636640208708603	0.46554793957588	0.870610136764384	0.00468920314558526	0.00468920314558526	Yes
NFATC4	0.785032538766829	0.575819611285463	1.07025894020336	0.125876001768913	0.125876001768913	No
NR3C2	0.685145262571334	0.502679146625511	0.933844250303975	0.0167040560530852	0.0167040560530852	Yes
PHC2	1.26172005424489	0.928449776183814	1.71461885835874	0.137394658519126	0.137394658519126	No
WWC2	0.973621111861525	0.717045935329575	1.3220046621236	0.863992559049338	0.863992559049338	No
XBP1	0.728193550815101	0.535447025226131	0.990323640746277	0.0431818051398861	0.0431818051398861	Yes
ZBTB18	0.584880305648439	0.428513096141819	0.79830692460843	0.000726959653480307	0.000726959653480307	Yes
ZNF117	0.822301198898249	0.604849393246368	1.11792996613634	0.211829316096223	0.211829316096223	No
ZNF141	0.704350426347685	0.516771400720849	0.960017374034511	0.0265401356850808	0.0265401356850808	Yes
ZNF19	0.834417963037203	0.614117413707066	1.13374628613164	0.247115174261277	0.247115174261277	No
ZNF254	0.620845017745965	0.454987467595111	0.847162973734904	0.00264810452899641	0.00264810452899641	Yes
ZNF281	1.07875439091923	0.794139487829813	1.46537359464099	0.62762537679528	0.62762537679528	No
ZNF33A	0.798266172562312	0.586983568331687	1.08559918307152	0.150896550164546	0.150896550164546	No
ZNF33B	0.877688147776014	0.646435110095964	1.19166869607706	0.403080727863184	0.403080727863184	No
ZNF341	0.935175370414606	0.688979013603229	1.26934631703272	0.667233389050386	0.667233389050386	No
ZNF444	0.698163142100564	0.511650604091654	0.95266529363936	0.0234666382108687	0.0234666382108687	Yes
ZNF540	0.589348754594655	0.431562393637927	0.804824423218108	0.000881992056262968	0.000881992056262968	Yes
ZNF678	0.887168058482002	0.653214829411594	1.20491319019763	0.443376614092282	0.443376614092282	No
ZNF75D	0.53112486933016	0.387084802915786	0.728764406910471	8.84584320839359e-05	8.84584320839359e-05	Yes
