TR	Hazard_Ratio	HR_Lower_95	HR_Upper_95	LogRank_PVal	CoxMultiPVal	Significant
ABHD14B	0.796927257919159	0.513176795953123	1.23757165059459	0.312112852132297	0.312112852132297	No
CREB3L2	0.862801495978226	0.554168713468978	1.34332091178933	0.513552549751045	0.513552549751045	No
CREBRF	0.682508247775489	0.437178585188438	1.06550852229138	0.0928083834725995	0.0928083834725995	No
CRY2	0.802674762161376	0.516442793558089	1.24754722468279	0.328604196377856	0.328604196377856	No
CSRNP1	0.947325950944069	0.609803656787735	1.47166460440638	0.809738668016074	0.809738668016074	No
E2F5	0.955999399380938	0.616332408529713	1.48286028605399	0.840767494700214	0.840767494700214	No
ELF3	1.7426616137954	1.11255630634957	2.72963218388499	0.0152742159291338	0.0152742159291338	Yes
ETV1	0.998294435095922	0.642919445532102	1.55010364995054	0.993933450877944	0.993933450877944	No
FOXA3	0.963271900765669	0.620958496806787	1.4942910992865	0.867341281651003	0.867341281651003	No
FOXD2	1.20714049374169	0.777705321789449	1.87370219902577	0.401347608052436	0.401347608052436	No
MAGED2	1.32868933917518	0.852785317419885	2.07017560454613	0.209077670238868	0.209077670238868	No
MXD4	1.19351321978636	0.76900962963587	1.85234846341169	0.43022806492435	0.43022806492435	No
NCOA7	1.34814477296481	0.867646066467971	2.0947416223196	0.183992122347073	0.183992122347073	No
NFATC4	1.23086972348798	0.792352703805587	1.91207813000801	0.35533062660261	0.35533062660261	No
NR3C2	0.963658767840103	0.620875035059503	1.49569264086469	0.868910384162095	0.868910384162095	No
PHC2	1.11349393208873	0.717216256265081	1.72872369521442	0.631940710141538	0.631940710141538	No
WWC2	0.813038198060684	0.522287094115911	1.26564703388796	0.35933247585666	0.35933247585666	No
XBP1	1.03982076106818	0.670443908104933	1.61270346717683	0.86155907220408	0.86155907220408	No
ZBTB18	0.828134908000319	0.533366568267974	1.28580879764502	0.400862442547284	0.400862442547284	No
ZNF117	1.17357172530137	0.756378138808404	1.82087572837123	0.47514249241847	0.47514249241847	No
ZNF141	0.950552756138933	0.612694089251257	1.47471724969226	0.820955733974496	0.820955733974496	No
ZNF19	1.33639834876762	0.859847015683218	2.07706779696122	0.197457297799514	0.197457297799514	No
ZNF254	1.13926300910528	0.733182396351513	1.77025554674305	0.562048317287917	0.562048317287917	No
ZNF281	1.15179087219129	0.741279139173527	1.78963921032805	0.529675320767829	0.529675320767829	No
ZNF33A	1.23750643607098	0.797058934936652	1.92134121103456	0.342416798291518	0.342416798291518	No
ZNF33B	0.742396049735391	0.476477929655712	1.1567207216942	0.188004610491461	0.188004610491461	No
ZNF341	1.30224210895284	0.838069625459442	2.02350074362885	0.240239350454948	0.240239350454948	No
ZNF444	1.09774550659679	0.706409364386955	1.70587375819859	0.678401772500479	0.678401772500479	No
ZNF540	0.818698977731168	0.525043437861298	1.27659535917317	0.377468683585454	0.377468683585454	No
ZNF678	1.49987235682224	0.960003651324448	2.34334221922581	0.0749669377891438	0.0749669377891438	No
ZNF75D	0.757694353898388	0.484795048366023	1.18421327912583	0.223276053325917	0.223276053325917	No
