Drug_TR	dataset_n
CID:46926350_PHC2_Negative_Correlated_CI_Significant	1
CID:46926350_CREBRF_Negative_Correlated_CI_Significant	1
CID:5287969_MXD4_Negative_Correlated_CI_Significant	1
CID:148124_CSRNP1_Negative_Correlated_CI_Significant	1
CID:23661650_WWC2_Negative_Correlated_CI_Significant	1
CID:2946601_CREBRF_Positive_Correlated_CI_Significant	1
CID:148124_MAGED2_Negative_Correlated_CI_Significant	1
CID:2946601_ZNF678_Positive_Correlated_CI_Significant	1
CID:5287969_FOXD2_Negative_Correlated_CI_Significant	1
NAME:BRDK29086754_CRY2_Negative_Correlated_CI_Significant	1
CID:44566777_ZNF540_Positive_Correlated_CI_Significant	1
CID:23661650_ZNF33A_Positive_Correlated_CI_Significant	1
CID:9926054_WWC2_Negative_Correlated_CI_Significant	1
CID:5287969_MAGED2_Negative_Correlated_CI_Significant	1
CID:46926350_MXD4_Negative_Correlated_CI_Significant	1
CID:6918638_NR3C2_Negative_Correlated_CI_Significant	1
CID:5287969_CRY2_Negative_Correlated_CI_Significant	1
NAME:BRDK55116708_PHC2_Positive_Correlated_CI_Significant	1
CID:6450551_MXD4_Negative_Correlated_CI_Significant	1
CID:6918837_WWC2_Negative_Correlated_CI_Significant	1
CID:6450551_NR3C2_Negative_Correlated_CI_Significant	1
NAME:BRDK71935468_FOXD2_Positive_Correlated_CI_Significant	1
CID:45279963_FOXD2_Negative_Correlated_CI_Significant	1
CID:5287969_PHC2_Negative_Correlated_CI_Significant	1
CID:6918638_PHC2_Negative_Correlated_CI_Significant	1
CID:49846579_CREBRF_Positive_Correlated_CI_Significant	1
CID:148124_MXD4_Negative_Correlated_CI_Significant	1
CID:53232_ZNF19_Negative_Correlated_CI_Significant	1
CID:3062316_XBP1_Negative_Correlated_CI_Significant	1
CID:3385_NFATC4_Negative_Correlated_CI_Significant	1
CID:15983966_ZNF341_Negative_Correlated_CI_Significant	1
CID:10302451_ZNF281_Negative_Correlated_CI_Significant	1
CID:36314_MAGED2_Negative_Correlated_CI_Significant	1
CID:9926054_PHC2_Negative_Correlated_CI_Significant	1
NAME:BRDK71935468_ABHD14B_Positive_Correlated_CI_Significant	1
CID:6450551_ZBTB18_Negative_Correlated_CI_Significant	1
NAME:SNX21122501_NR3C2_Negative_Correlated_CI_Significant	1
CID:119607_ELF3_Negative_Correlated_CI_Significant	1
CID:15983966_ZNF678_Negative_Correlated_CI_Significant	1
NAME:BRDK50799972_PHC2_Positive_Correlated_CI_Significant	1
CID:12003241_FOXA3_Negative_Correlated_CI_Significant	1
CID:4261_WWC2_Negative_Correlated_CI_Significant	1
CID:11175137_ELF3_Negative_Correlated_CI_Significant	1
CID:11364421_NR3C2_Negative_Correlated_CI_Significant	1
CID:24772860_NR3C2_Negative_Correlated_CI_Significant	1
CID:6918638_CSRNP1_Negative_Correlated_CI_Significant	1
NAME:BRDK35604418_PHC2_Negative_Correlated_CI_Significant	1
CID:49843203_ETV1_Positive_Correlated_CI_Significant	1
CID:1317464_PHC2_Positive_Correlated_CI_Significant	1
NAME:ML312_CRY2_Positive_Correlated_CI_Significant	1
CID:25227462_MAGED2_Negative_Correlated_CI_Significant	1
CID:15983966_NR3C2_Negative_Correlated_CI_Significant	1
CID:6450551_FOXD2_Negative_Correlated_CI_Significant	1
CID:5472285_ELF3_Negative_Correlated_CI_Significant	1
NAME:BRDK99006945_XBP1_Positive_Correlated_CI_Significant	1
CID:216468_XBP1_Negative_Correlated_CI_Significant	1
CID:5472285_ZNF341_Negative_Correlated_CI_Significant	1
NAME:1S3RRSL3_ZNF254_Positive_Correlated_CI_Significant	1
CID:23635314_MAGED2_Negative_Correlated_CI_Significant	1
NAME:ML312_ETV1_Positive_Correlated_CI_Significant	1
NAME:BRDK29086754_ELF3_Negative_Correlated_CI_Significant	1
CID:15983966_ZNF254_Negative_Correlated_CI_Significant	1
CID:5287969_ABHD14B_Negative_Correlated_CI_Significant	1
CID:5311281_ZNF19_Negative_Correlated_CI_Significant	1
CID:25195348_XBP1_Negative_Correlated_CI_Significant	1
CID:11427553_ELF3_Negative_Correlated_CI_Significant	1
CID:53232_ZNF254_Negative_Correlated_CI_Significant	1
CID:6918638_MXD4_Negative_Correlated_CI_Significant	1
CID:45100481_WWC2_Positive_Correlated_CI_Significant	1
CID:421610_ZNF33A_Positive_Correlated_CI_Significant	1
CID:3385_ZNF254_Negative_Correlated_CI_Significant	2
CID:9933475_NFATC4_Positive_Correlated_CI_Significant	1
CID:9933475_ZNF75D_Positive_Correlated_CI_Significant	1
CID:446155_ZNF33A_Negative_Correlated_CI_Significant	1
CID:446155_FOXA3_Negative_Correlated_CI_Significant	1
CID:11427553_ZNF444_Negative_Correlated_CI_Significant	1
CID:5420804_PHC2_Negative_Correlated_CI_Significant	1
CID:46191454_WWC2_Negative_Correlated_CI_Significant	2
NAME:ML312_MAGED2_Positive_Correlated_CI_Significant	1
CID:53232_ZNF341_Negative_Correlated_CI_Significant	1
NAME:BRDK29086754_NR3C2_Negative_Correlated_CI_Significant	1
CID:148124_NCOA7_Negative_Correlated_CI_Significant	1
NAME:BRDK50799972_WWC2_Positive_Correlated_CI_Significant	1
CID:11427553_ZNF341_Negative_Correlated_CI_Significant	1
CID:5470400_ZBTB18_Positive_Correlated_CI_Significant	1
CID:26596_MAGED2_Negative_Correlated_CI_Significant	1
CID:36314_MXD4_Negative_Correlated_CI_Significant	1
CID:9967941_ZNF678_Negative_Correlated_CI_Significant	1
CID:12003241_XBP1_Negative_Correlated_CI_Significant	1
CID:25227462_CREB3L2_Negative_Correlated_CI_Significant	1
NAME:BRDK71935468_ELF3_Positive_Correlated_CI_Significant	1
CID:11175137_ZNF19_Negative_Correlated_CI_Significant	1
CID:16736978_ELF3_Negative_Correlated_CI_Significant	1
CID:24797083_ZNF33B_Positive_Correlated_CI_Significant	1
CID:613000_PHC2_Negative_Correlated_CI_Significant	1
CID:119607_ZNF341_Negative_Correlated_CI_Significant	1
CID:53232_ELF3_Negative_Correlated_CI_Significant	1
CID:11364421_MAGED2_Negative_Correlated_CI_Significant	1
CID:6914657_ABHD14B_Negative_Correlated_CI_Significant	1
CID:119607_ZNF444_Negative_Correlated_CI_Significant	1
CID:6450551_ZNF444_Negative_Correlated_CI_Significant	1
CID:51039095_MXD4_Negative_Correlated_CI_Significant	1
CID:11455910_ZNF341_Negative_Correlated_CI_Significant	1
CID:11455910_PHC2_Negative_Correlated_CI_Significant	1
CID:11525740_NR3C2_Negative_Correlated_CI_Significant	1
NAME:SRII138A_MAGED2_Negative_Correlated_CI_Significant	1
CID:25262965_NFATC4_Negative_Correlated_CI_Significant	1
CID:1317464_CSRNP1_Positive_Correlated_CI_Significant	1
CID:25262965_ZNF341_Negative_Correlated_CI_Significant	1
CID:26596_MXD4_Negative_Correlated_CI_Significant	1
CID:5472285_ZNF540_Negative_Correlated_CI_Significant	1
CID:12001922_ZNF33A_Positive_Correlated_CI_Significant	1
NAME:BRDK71935468_ZNF444_Positive_Correlated_CI_Significant	1
CID:10302451_XBP1_Negative_Correlated_CI_Significant	1
