dataset	canonical_drug
CTRPv2	CID:46926350
CTRPv2	CID:5287969
CTRPv2	CID:148124
CTRPv2	CID:23661650
CTRPv2	CID:2946601
CTRPv2	NAME:BRDK29086754
CTRPv2	CID:44566777
CTRPv2	CID:9926054
CTRPv2	CID:6918638
CTRPv2	NAME:BRDK55116708
CTRPv2	CID:6450551
CTRPv2	CID:6918837
CTRPv2	NAME:BRDK71935468
CTRPv2	CID:45279963
CTRPv2	CID:49846579
CTRPv2	CID:53232
CTRPv2	CID:3062316
CTRPv2	CID:3385
CTRPv2	CID:15983966
CTRPv2	CID:10302451
CTRPv2	CID:36314
CTRPv2	NAME:SNX21122501
CTRPv2	CID:119607
CTRPv2	NAME:BRDK50799972
CTRPv2	CID:12003241
CTRPv2	CID:4261
CTRPv2	CID:11175137
CTRPv2	CID:11364421
CTRPv2	CID:24772860
CTRPv2	NAME:BRDK35604418
CTRPv2	CID:49843203
CTRPv2	CID:1317464
CTRPv2	NAME:ML312
CTRPv2	CID:25227462
CTRPv2	CID:5472285
CTRPv2	NAME:BRDK99006945
CTRPv2	CID:216468
CTRPv2	NAME:1S3RRSL3
CTRPv2	CID:23635314
CTRPv2	CID:5311281
CTRPv2	CID:25195348
CTRPv2	CID:11427553
CTRPv2	CID:45100481
CTRPv2	CID:421610
CTRPv2	CID:9933475
CTRPv2	CID:446155
CTRPv2	CID:5420804
CTRPv2	CID:46191454
CTRPv2	CID:5470400
CTRPv2	CID:26596
CTRPv2	CID:9967941
CTRPv2	CID:16736978
CTRPv2	CID:24797083
CTRPv2	CID:613000
CTRPv2	CID:6914657
CTRPv2	CID:51039095
CTRPv2	CID:11455910
CTRPv2	CID:11525740
CTRPv2	NAME:SRII138A
CTRPv2	CID:25262965
CTRPv2	CID:12001922
CTRPv2	NAME:BRDK94991378
CTRPv2	CID:72376
CTRPv2	CID:6851947
CTRPv2	CID:9907093
CTRPv2	CID:151289
CTRPv2	CID:6918328
CTRPv2	NAME:BRDK34222889
CTRPv2	NAME:81
CTRPv2	CID:11222830
CTRPv2	NAME:VAF347
CTRPv2	CID:5460769
