HC_TR	Overall_OS	Overall_RFS
ABHD14B	NA	Non-Prognostic
CREB3L2	NA	NA
CREBRF	Non-Prognostic	Non-Prognostic
CRY2	Good prognosis	NA
CSRNP1	Non-Prognostic	NA
E2F5	Non-Prognostic	NA
ELF3	NA	Non-Prognostic
ETV1	Non-Prognostic	Non-Prognostic
FOXA3	NA	NA
FOXD2	NA	NA
MAGED2	NA	NA
MXD4	Non-Prognostic	NA
NCOA7	Non-Prognostic	NA
NFATC4	NA	NA
NR3C2	Non-Prognostic	NA
PHC2	NA	NA
WWC2	NA	NA
XBP1	NA	NA
ZBTB18	Non-Prognostic	NA
ZNF117	NA	NA
ZNF141	NA	Non-Prognostic
ZNF19	NA	NA
ZNF254	Non-Prognostic	NA
ZNF281	NA	NA
ZNF33A	NA	NA
ZNF33B	NA	NA
ZNF341	NA	NA
ZNF444	NA	NA
ZNF540	Non-Prognostic	Non-Prognostic
ZNF678	NA	NA
ZNF75D	Non-Prognostic	NA
