canonical_drug	display_drug	TF	dataset	sample_id	AAC	NES
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000681	0.157110060609572	1.59873902486357
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000161	0.148398376017689	0.961445326705856
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000392	0.155540149692744	1.48618598423928
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000392	0.323669641546237	1.48618598423928
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000925	0.493091523487515	0.386659591809976
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000706	0.120364163134783	1.63338428058267
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000578	0.0357239413211583	1.66486980531598
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000712	0.286935841222426	0.464070419506896
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000314	0.277565672364398	1.42540821916923
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000731	0.168184438157632	2.12180782981432
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000150	0.103390704432756	1.21625752483755
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000066	0.147816894117558	1.26055289455765
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000667	0.377435381050276	1.46933297257964
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000562	0.218027312985794	1.08369644588731
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000012	0.30560984167636	1.50134767963797
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000861	0.166116135394863	1.40071361253335
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000787	0.185195262832392	1.40064364036125
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000851	0.361719352345891	0.780926318172262
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000666	0.110336408161285	1.81751791609774
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000845	0.182308757939176	1.44478616942559
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000327	0.203358827926369	0.698866872030417
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000852	0.257665235047989	0.982550788566267
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000892	0.192840672302818	1.91269753150046
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000869	0.228647822074914	1.48704168376384
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000744	0.190852222981353	0.847224893596158
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000035	0.149401132196759	1.56102278756517
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000893	0.205295469416165	1.9117069707355
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000448	0.337189080080492	1.03171604575121
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000021	0.12650101829015	1.13361225504475
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000675	0.382488086249033	1.52520980377218
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000282	0.0582203055647923	1.76278578995857
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000496	0.140015027380573	1.64430147735379
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000888	0.0958323417949739	1.60779001788787
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000733	0.261218899372225	1.53439032362265
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000414	0.212667161509029	1.04424105897554
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000587	0.495842940145953	1.29357603494476
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000886	0.191325293515368	1.30572147031531
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000781	0.160507076727124	1.51863596022533
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000521	0.23199819309277	1.5783092346821
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000451	0.150511855848424	1.40161088472024
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000841	0.29360750999673	1.28160279909667
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000311	0.249334516044025	0.92589525950411
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000785	0.187921775049199	1.01973769080584
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000447	0.166855249272803	1.89587157711088
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000718	0.0515813231369989	1.5340300441448
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000900	0.297772170809106	0.93739692180358
CID:46191454	Pha-793887	WWC2	CTRPv2	ACH-000951	0.120727404840034	1.16253515282663
