cohort	marker	TR	r	fdr	sig
TCGA-LUAD	StromalScore	ABHD14B	-0.140269119016034	0.00167079376229764	FALSE
TCGA-LUAD	StromalScore	CREB3L2	0.341026540021663	1.00031261284412e-14	FALSE
TCGA-LUAD	StromalScore	CREBRF	0.342078927414395	1.00031261284412e-14	FALSE
TCGA-LUAD	StromalScore	CRY2	0.120827889940183	0.00663639489161006	FALSE
TCGA-LUAD	StromalScore	CSRNP1	0.327966769819633	1.08502310399641e-13	FALSE
TCGA-LUAD	StromalScore	E2F5	-0.234185703843237	1.52412309105115e-07	FALSE
TCGA-LUAD	StromalScore	ELF3	-0.317706954564277	6.41592573273905e-13	FALSE
TCGA-LUAD	StromalScore	ETV1	0.475727535363616	5.22599922736774e-29	TRUE
TCGA-LUAD	StromalScore	FOXA3	-0.279899982047396	2.98818743575302e-10	FALSE
TCGA-LUAD	StromalScore	FOXD2	-0.00247729574886301	0.955232704619391	FALSE
TCGA-LUAD	StromalScore	MAGED2	-0.228145406549657	3.12553536749283e-07	FALSE
TCGA-LUAD	StromalScore	MXD4	-0.0542571390704477	0.225831210744671	FALSE
TCGA-LUAD	StromalScore	NCOA7	0.278236473687522	3.53890906456385e-10	FALSE
TCGA-LUAD	StromalScore	NFATC4	-0.259953598839551	4.88105541881572e-09	FALSE
TCGA-LUAD	StromalScore	NR3C2	0.188161547293512	2.38151433951969e-05	FALSE
TCGA-LUAD	StromalScore	PHC2	0.295570516127029	2.83272978090383e-11	FALSE
TCGA-LUAD	StromalScore	WWC2	0.399154526546166	5.76265805812118e-20	FALSE
TCGA-LUAD	StromalScore	XBP1	0.142003964608259	0.00151211632504938	FALSE
TCGA-LUAD	StromalScore	ZBTB18	-0.142342320793672	0.00151211632504938	FALSE
TCGA-LUAD	StromalScore	ZNF117	-0.15836764609126	0.00041029950684873	FALSE
TCGA-LUAD	StromalScore	ZNF141	-0.19126329654984	1.79603237326844e-05	FALSE
TCGA-LUAD	StromalScore	ZNF19	-0.294740766329912	2.89808243127631e-11	FALSE
TCGA-LUAD	StromalScore	ZNF254	-0.201932724090083	5.84504636065085e-06	FALSE
TCGA-LUAD	StromalScore	ZNF281	-0.122550227234932	0.00609725672803964	FALSE
TCGA-LUAD	StromalScore	ZNF33A	-0.217415561080974	1.08023256460123e-06	FALSE
TCGA-LUAD	StromalScore	ZNF33B	-0.261309911766013	4.32981051007648e-09	FALSE
TCGA-LUAD	StromalScore	ZNF341	-0.217250121110121	1.08023256460123e-06	FALSE
TCGA-LUAD	StromalScore	ZNF444	-0.350451452207221	2.42284160170112e-15	FALSE
TCGA-LUAD	StromalScore	ZNF540	0.212815500257805	1.74400406382636e-06	FALSE
TCGA-LUAD	StromalScore	ZNF678	-0.24958437496591	2.01251747119801e-08	FALSE
TCGA-LUAD	StromalScore	ZNF75D	-0.0742803917920669	0.0982164999870058	FALSE
TCGA-LUAD	ImmuneScore	ABHD14B	-0.0183083867161471	0.67820575622445	FALSE
TCGA-LUAD	ImmuneScore	CREB3L2	0.0488884527528535	0.292781791032931	FALSE
TCGA-LUAD	ImmuneScore	CREBRF	0.289452294625107	1.26450089595664e-10	FALSE
TCGA-LUAD	ImmuneScore	CRY2	0.0482558870381396	0.292781791032931	FALSE
TCGA-LUAD	ImmuneScore	CSRNP1	0.257696353634633	8.02487290389586e-09	FALSE
TCGA-LUAD	ImmuneScore	E2F5	-0.263429552438413	4.21457484590328e-09	FALSE
TCGA-LUAD	ImmuneScore	ELF3	-0.228532960991369	2.79939747745016e-07	FALSE
TCGA-LUAD	ImmuneScore	ETV1	0.350096213025286	3.91295298849113e-15	FALSE
TCGA-LUAD	ImmuneScore	FOXA3	-0.259593263660458	6.6901553350649e-09	FALSE
TCGA-LUAD	ImmuneScore	FOXD2	0.0931063781792311	0.0445341481167109	FALSE
TCGA-LUAD	ImmuneScore	MAGED2	-0.250605887107143	1.7427231473215e-08	FALSE
TCGA-LUAD	ImmuneScore	MXD4	-0.0287296821094019	0.532104887362792	FALSE
TCGA-LUAD	ImmuneScore	NCOA7	0.278675102825821	5.18745442011896e-10	FALSE
TCGA-LUAD	ImmuneScore	NFATC4	-0.204692940962394	4.49730483460829e-06	FALSE
TCGA-LUAD	ImmuneScore	NR3C2	0.143116628404999	0.00164525514592808	FALSE
TCGA-LUAD	ImmuneScore	PHC2	0.276867594989493	6.04098467004085e-10	FALSE
TCGA-LUAD	ImmuneScore	WWC2	0.255176271456317	1.05951692155244e-08	FALSE
TCGA-LUAD	ImmuneScore	XBP1	0.0813875074797522	0.0802234336567745	FALSE
