check	observed	expected	status
final_pdf_count	7	7	PASS
pages:Figure1_revised.pdf	1	1	PASS
pages:Figure2_revised.pdf	1	1	PASS
pages:Figure3_revised.pdf	1	1	PASS
pages:Figure4_revised.pdf	1	1	PASS
pages:Figure5_revised.pdf	1	1	PASS
pages:TNBC_LUAD_panel_comparison_atlas.pdf	40	40	PASS
supplement_page_count	12	>=10	PASS
HC_TFs	31	31	PASS
strict_motif	FOXA3;NFATC4;XBP1	FOXA3;NFATC4;XBP1	PASS
sensitivity_motif	ETV1;FOXA3;NFATC4;XBP1;ZNF75D	ETV1;FOXA3;NFATC4;XBP1;ZNF75D	PASS
replicated_cellline_pairs	5	5	PASS
validated_PDX_pairs	0	0	PASS
target_network_nodes	30	>0	PASS
target_network_edges	3	>0	PASS
MKI67_rows	155	155	PASS
ESTIMATE_rows	186	186	PASS
main_panel_sources	0	0	PASS
Figure4_FH_lower_region_ink	0.05989	>=0.012	PASS
