TF	NES	p_value	FDR	regulon_size
AATF	-2.2583065473869	0.023926554380687	0.100367234609895	112
ABHD14B	2.38133838542552	0.0172498581262511	0.0805535192002101	123
ABRA	-0.621885464986331	0.534017183275899	0.808086991224132	14
ACTL6A	-3.18147646240318	0.00146526428912434	0.0169028701923986	372
ACTL6B	0.359978685186151	0.718863073295071	0.902031743641982	27
ACTR5	0.618939912808902	0.535955943615903	0.808086991224132	78
ACTR8	1.25783300986309	0.208452154878918	0.464986505703664	84
ACTRT1	-0.405940373390198	0.684786412279634	0.894077155707122	133
ADCYAP1	-0.962081059455088	0.336008887551941	0.637939197274762	65
AEBP1	1.18770482438266	0.234949722421299	0.505251400413313	185
AEBP2	-2.89677744149335	0.00377017112904852	0.0256024711770918	89
AFAP1L2	-2.80947231391504	0.00496227870288106	0.0300104232936463	69
AHR	-1.88939452350647	0.0588389841739685	0.190430780442804	69
AHRR	-0.569408435650225	0.569078993429834	0.822059547754188	30
AIRE	0.0545076922963136	0.956530680136369	0.983947164598877	246
ALX3	-0.294508132966441	0.768369649642126	0.928135365872875	30
ALX4	-1.14488000088526	0.252258869517855	0.532546502315471	41
ANKRD1	2.00820116139629	0.0446219196571003	0.154644635721496	74
ANKRD2	-1.15536395313478	0.247941416818464	0.525492635382966	42
ANKRD33	3.45824028178302	0.000543716224285971	0.0133014479900131	147
ANKRD49	-1.88536484616704	0.059380596744132	0.191799327483546	64
APBB1	0.156459178882473	0.875671093454456	0.969719277426941	57
APBB2	0.840566581614019	0.40059078682362	0.700925374561372	119
APBB3	0.930750723852273	0.351982524581217	0.654683749335331	215
AR	2.19074057270161	0.0284705712564293	0.112972905599836	81
ARGFX	-0.513791186318205	0.607397990676089	0.844189117850159	34
ARID1A	0.711715678785503	0.476640856734741	0.761378069614688	107
ARID1B	-2.67982253549974	0.00736612007837758	0.0421854039949638	49
ARID3A	-0.175672330089255	0.860551374598311	0.964462505188253	60
ARID3B	-0.927011486133405	0.353920570652928	0.656990484602849	177
ARID3C	-0.294743535390289	0.768189803279463	0.928135365872875	27
ARID4A	0.550854830395505	0.581733193794626	0.828482458534675	89
ARID4B	0.648730836682616	0.516512368980733	0.790680071946809	202
ARID5A	0.360375696389212	0.71856619884071	0.902031743641982	94
ARID5B	1.23154107655823	0.218120563448781	0.479924672983353	126
ARNT	0.990028152470581	0.322160358829091	0.620869903948665	170
ARNT2	1.05772641732	0.290180187851046	0.57935293656428	50
ARNTL	0.746283909899473	0.455495929031073	0.746828350644856	98
ARNTL2	-2.88418561900746	0.00392427369150553	0.0265175816392529	48
ARX	-1.01279862998851	0.311156355238753	0.606173116659332	29
ASCC1	-1.39411601992109	0.163282572303024	0.392306948011526	96
ASCC2	0.154690591920527	0.877065247272061	0.969719277426941	107
ASCL1	-0.849926609871057	0.395365890211318	0.695301363701815	83
ASCL2	-2.93763417693621	0.00330727022631495	0.0239947213287037	165
ASCL3	-0.271757487931515	0.785808495074777	0.933330730498678	24
ASCL4	-1.29026097778172	0.196960060693046	0.448014785942633	29
ASH1L	-0.0344652152390953	0.972506180077568	0.989041234776619	42
ASXL1	0.583754729600431	0.559385339770417	0.816825642088342	88
ASXL2	-0.862423657509118	0.388454426725539	0.689399889188731	90
ATAD2	-2.90605944342783	0.00366011909219398	0.0254788462667813	260
ATF1	-0.580518005481959	0.561565348164603	0.817201508972658	140
ATF2	-1.84619229869864	0.0648642887885457	0.205403581163728	87
ATF3	0.105875455676291	0.915681168125629	0.975138086781005	51
ATF4	-0.309030515260567	0.757298314334719	0.923743789766293	112
ATF5	-2.77558304070437	0.0055102825616955	0.0330821796919637	145
ATF6	-0.423997968912157	0.671567294548452	0.887545974382774	126
ATF7	-1.77922323682935	0.0752031702118164	0.224524085023989	33
ATF7IP	-0.488801185983474	0.624982458295024	0.860483094754018	46
ATF7IP2	1.13214110887172	0.257575114297474	0.53883913159381	85
ATOH1	-0.59907473684553	0.549123047504772	0.810634114917921	25
ATOH7	-0.394450257359504	0.693248645158102	0.895093575177549	53
ATOH8	3.6324297330908	0.00028076504338516	0.0117818426196165	164
ATP1B4	0.838969958950361	0.40148616760712	0.700973146687026	23
ATXN1	0.843354038534243	0.399030468813261	0.699320633131562	69
