TF	NES	p_value	FDR	regulon_size
AATF	-1.36136203718283	0.17339930688618	0.323110183869876	85
ABHD14B	3.02490462345075	0.00248711544531367	0.0199554439259285	148
ABRA	2.96503798370398	0.00302645559597806	0.0219579012389047	519
ACTL6A	-3.37766527923208	0.000731040061569984	0.0131202453155455	330
ACTL6B	-0.176853153737528	0.859623736390084	0.922765039167949	365
ACTR5	-0.928909133523591	0.352936179195582	0.51615970166845	52
ACTR8	1.8386194488832	0.0659711786161266	0.169996261270271	64
ACTRT1	0.552482005530339	0.580618159664789	0.72742561177172	312
ADCYAP1	0.955573822655883	0.339287592086837	0.503395513712595	108
AEBP1	0.0237584321753577	0.981045297000241	0.989264996383683	198
AEBP2	-2.92464171309237	0.00344853020023061	0.0232286443584664	66
AFAP1L2	-1.96338538895692	0.0496014102700263	0.14017194117745	103
AHR	0.85209727817171	0.394160102541168	0.560424996385844	122
AHRR	-0.664179970844222	0.506575131128512	0.665672908342283	122
AIRE	0.135969013742933	0.891845776883871	0.94207781304672	228
AJUBA	-2.88959063185662	0.00385743793878029	0.0243474128892202	30
AKIRIN1	-0.52524865916485	0.599410342693318	0.744622684365834	48
AKIRIN2	-3.01139131085849	0.00260053483567636	0.020233281970773	29
ALX1	-1.69892931650571	0.0893325024638836	0.208646461234139	40
ALX3	-1.31105502100763	0.189839175407203	0.34096825781049	85
ALX4	-2.3113259361433	0.0208148584710122	0.0790115035838421	120
ANHX	-0.492860771883348	0.62211096681431	0.764009026471836	281
ANKRD1	2.29989935165703	0.0214539228422103	0.0803030333556426	112
ANKRD2	-3.51938051609895	0.000432555824869686	0.0111506849976282	51
ANKRD33	-0.473111106348385	0.636133913462344	0.771098743284954	392
ANKRD49	-1.01472052494327	0.310239067372207	0.472295405371852	85
APBB1	2.675779706021	0.00745556325453057	0.0381992495731855	96
APBB2	0.932262161250719	0.351201057594858	0.513989530643118	68
APBB3	0.805168190507409	0.420722629840823	0.583939715955145	103
AR	2.28849058385183	0.022108967843803	0.0823768709132699	40
ARGFX	0.0273932621149456	0.978146072287052	0.988778094811911	901
ARID1A	0.219131554258849	0.82654757130581	0.900967677619439	37
ARID1B	-1.74549477102581	0.0808987818672299	0.194957488457423	52
ARID3A	-0.0243253338971905	0.980593105579903	0.989264996383683	34
ARID3B	-2.56586928971774	0.0102917602836712	0.0487770737248618	47
ARID3C	-2.98040945346863	0.00287863326208621	0.0211099772552989	187
ARID4A	2.80906032382382	0.0049686335596721	0.0276997936323954	92
ARID4B	1.71301982526173	0.0867088923765653	0.204150050405584	52
ARID5A	-0.793133829958584	0.427699854576602	0.589275355194429	137
ARID5B	-0.570633026911131	0.568248425939159	0.716454771992455	20
ARNT	1.11896942211931	0.263153184259277	0.424949814518137	27
ARNT2	-0.187256854438557	0.851459249725667	0.916404852676862	45
ARNTL	-1.57472784485771	0.115319277698797	0.246030492358435	42
ARNTL2	-3.285177599974	0.00101918107094945	0.0140894896700173	92
ARX	3.06877056471358	0.00214941595574857	0.0187936113053913	49
ASCC1	-1.86967501964488	0.0615289604981231	0.161664616062207	153
ASCC2	-2.53996893914177	0.0110862314038118	0.051317713692758	60
ASCL1	1.447011666457	0.147893656107228	0.290952327303258	234
ASCL2	-2.5491547624584	0.0107984368070618	0.0503271109504522	49
ASCL3	1.14860453294184	0.250719087071847	0.410353920341722	644
ASCL4	-2.14452118148174	0.031991150108818	0.106147548229937	93
ASCL5	3.35635039140849	0.000789784383262618	0.0133545359351679	89
ASH1L	1.15670717997629	0.247392015240458	0.405580178831713	68
ASXL1	-0.174461044060725	0.861503143565021	0.923813119357459	41
ASXL2	-1.25581817836641	0.20918189925626	0.363104514634395	120
ASXL3	1.28169095821295	0.199951078008415	0.351460400004483	98
ATAD2	-2.61870693308697	0.00882637399068499	0.0439385916908552	102
ATAD2B	-1.16563520954914	0.243761965864325	0.401741718485314	115
ATF1	-0.576137132516225	0.564522494532387	0.71385230149151	70
ATF2	1.22098767481894	0.222090686434778	0.378177225198052	54
ATF3	-1.11185289302958	0.266201405608994	0.428519335858381	81
ATF4	-3.13836196171765	0.00169894935789672	0.0165526208869366	98
ATF5	-0.383360293180238	0.701452640010351	0.819691569707477	35
ATF6	1.83747402656035	0.0661399473874851	0.170002930093963	63
ATF6B	0.734601663675125	0.46258212449733	0.623316971253915	26
ATF7	1.06753561877006	0.285730038339777	0.448659753218099	29
ATF7IP	-0.123465530866121	0.901738467800419	0.948094562653436	25
ATF7IP2	0.59133642697809	0.554295026989132	0.704402251689295	83
ATMIN	-0.897937386806134	0.369218931262475	0.533490065934339	47
ATOH1	-0.338189472793849	0.73522040847939	0.842251374999346	170
ATOH7	-1.6868232686965	0.0916373398291654	0.212530052763994	98
ATOH8	3.31237775202959	0.000925065452293363	0.013906466143899	81
ATP1B4	-0.999960599480426	0.317329575783085	0.479155949854016	533
ATXN1	0.496904959374994	0.619256074082278	0.761417023781455	45
ATXN1L	-0.383718748195621	0.701186915384102	0.819691569707477	67
ATXN7L3	-1.48826075997551	0.136682139077452	0.274168290737713	40
BACH1	-1.30119908394396	0.193190318761173	0.344609757790201	58
BACH2	-3.272696514056	0.00106526791260448	0.0142453473803187	61
BAHD1	-0.0445373080608631	0.964476113936392	0.980648743341967	33
BARHL1	0.191348164068378	0.848252828678417	0.914878907472874	278
BARHL2	-1.91468790728105	0.0555323166823764	0.152568436312684	133
BARX1	-0.324340052284495	0.745680599832581	0.849478010722417	82
BARX2	-0.361639324998465	0.717621573779778	0.831285547638234	113
BASP1	-0.0380205845580876	0.969671269788772	0.984100901779676	122
BATF	2.44399284529693	0.0145257146003558	0.0612775506645938	61
BATF2	2.33768601576561	0.0194035421364873	0.0747639307179908	99
BATF3	2.56458148657284	0.0103300320113984	0.0487770737248618	133
BAZ1A	1.29188597449839	0.1963966355766	0.346892008666318	41
BBX	-2.82018668220581	0.00479957184536734	0.0274299552950323	43
BCL11A	-3.67927522472254	0.000233897739337317	0.0111506849976282	161
BCL11B	-3.68067836074791	0.000232614278629792	0.0111506849976282	82
BCL3	0.297087683929087	0.766399566922868	0.86156786479351	85
BCL6	-2.84229310442994	0.00447902921604567	0.0263336028046823	53
BCL6B	1.74836087511375	0.0804015582464907	0.194216751088926	87
BCL9	2.53695336491697	0.0111821849083923	0.0514341055078498	30
BCL9L	0.910741210619604	0.362431744865835	0.526309456816497	87
BCLAF1	-0.322794265554035	0.746851056160289	0.849990937457664	43
BCLAF3	3.05268054622128	0.00226807246438382	0.0190966101322193	102
BCOR	0.640717991766152	0.521705922598266	0.677290810682775	15
BCORL1	-1.79248615497289e-05	0.999985698029716	0.999985698029716	21
BCORP1	-1.01387988100318	0.31064007257061	0.472295405371852	161
BEND3	-1.39468592125289	0.16311057223531	0.311309916784929	14
BEND5	-0.996040102299074	0.319230660776489	0.48060774977829	147
BHLHA15	2.48471278677367	0.012965599483913	0.0566829413335169	77
BHLHA9	-0.84682858646634	0.397090672024706	0.562772102347587	271
BHLHE22	1.23593571377509	0.216482460494904	0.372204297624012	52
BHLHE23	-0.661648560164511	0.508196478580884	0.666312368929929	229
BHLHE40	-0.609535661103533	0.54216944283943	0.694529102219633	72
BHLHE41	0.203501771531693	0.838742861169949	0.907492276019945	60
BICRA	-1.09455235023669	0.273712800740041	0.434893862993745	58
BICRAL	2.65472677142854	0.00793726695134124	0.040197148966446	51
BMI1	-0.0472111393860035	0.962344949476811	0.9800685747285	57
BMP2	2.49830549076514	0.0124788603602342	0.0557461753210461	59
BMP4	1.38906850614799	0.16481191942728	0.31338772039797	53
BNC1	-3.86723353703655	0.000110077002006699	0.0111506849976282	268
BNC2	0.0332702582772809	0.97345907108059	0.986276028501488	155
BPTF	0.411855678191445	0.680445208571575	0.808332710699179	93
BRCA1	-2.47620876677097	0.0132785908523465	0.0575593154319936	152
BRCA2	-2.35360380864202	0.0185924156867967	0.0730370062309206	73
BRD1	-1.57118636302276	0.116139366729437	0.24623952780148	40
BRD2	-1.11966969221781	0.26285454491688	0.424802842732967	27
BRD3	-0.840382602599675	0.400693900452748	0.56594386320953	38
BRD4	-3.03520865668817	0.00240369329271968	0.0195683419606718	51
BRD7	-1.13590555096147	0.255996094889077	0.416019070804648	51
BRD9	-1.38113574124804	0.167237227962556	0.315652553885046	57
BRDT	2.39413539606698	0.0166595976791422	0.0677644867823556	167
BRMS1	-1.45662747309459	0.145219239802191	0.286241391748826	109
BRMS1L	-1.06573971527029	0.286541319134006	0.449495682685528	78
BRPF1	0.406028412105366	0.684721724413317	0.812139506173708	38
BRPF3	2.26125313200256	0.0237435866701272	0.0861336495160998	61
BRWD1	1.2939679364978	0.195676496244871	0.346626936205199	66
BRWD3	-0.180243126549753	0.85696170272619	0.921842084005145	42
BSX	1.823302941669	0.0682575210305721	0.173102022179598	335
BTBD18	0.812446906150663	0.416535240449309	0.58053889779243	386
CALCOCO1	3.19491507368122	0.00139871993122238	0.01538751142513	137
CAMTA1	-0.385514814804108	0.699856032486409	0.819636773020717	122
