system	sample_id	category	peak_count	total_peaks	fraction	hierarchical_definition
patient	TCGA-44-3918	promoter	33081	124981	0.26468823261135693	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-3918	exonic	7983	124981	0.06387370880373817	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-3918	intronic	42742	124981	0.34198798217329035	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-3918	distal	41175	124981	0.32945007641161456	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-6146	promoter	32115	109236	0.29399648467538175	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-6146	exonic	7101	109236	0.06500604196418763	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-6146	intronic	36869	109236	0.33751693580870773	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-6146	distal	33151	109236	0.3034805375517229	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-A47F	promoter	30589	102342	0.2988899962869594	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-A47F	exonic	6060	102342	0.05921322624142581	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-A47F	intronic	32479	102342	0.3173574876394833	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-44-A47F	distal	33214	102342	0.3245392898321315	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-49-AARO	promoter	33056	127216	0.25984152936737515	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-49-AARO	exonic	7982	127216	0.06274368004024651	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-49-AARO	intronic	43968	127216	0.34561690353414665	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-49-AARO	distal	42210	127216	0.33179788705823166	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-4B-A93V	promoter	32793	125496	0.2613071332950851	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-4B-A93V	exonic	8009	125496	0.06381876713202014	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-4B-A93V	intronic	43954	125496	0.35024223879645566	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-4B-A93V	distal	40740	125496	0.3246318607764391	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-73-A9RS	promoter	31845	103291	0.3083037244290403	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-73-A9RS	exonic	6578	103291	0.06368415447618864	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-73-A9RS	intronic	34272	103291	0.33180044728001473	promoter_then_exonic_then_intronic_then_distal
patient	TCGA-73-A9RS	distal	30596	103291	0.2962116738147564	promoter_then_exonic_then_intronic_then_distal
