system	sample_1	sample_2	pearson_r
patient	TCGA-44-3918	TCGA-44-3918	1.0
patient	TCGA-44-3918	TCGA-44-6146	0.614306057951812
patient	TCGA-44-3918	TCGA-44-A47F	0.600652876609196
patient	TCGA-44-3918	TCGA-49-AARO	0.76280769984351
patient	TCGA-44-3918	TCGA-4B-A93V	0.559911486464667
patient	TCGA-44-3918	TCGA-73-A9RS	0.581670012393925
patient	TCGA-44-3918	TCGA-86-A4D0	0.511824159272371
patient	TCGA-44-3918	TCGA-86-A4P7	0.733490428524554
patient	TCGA-44-3918	TCGA-86-A4P8	0.735825971654786
patient	TCGA-44-3918	TCGA-91-A4BC	0.732041417450086
patient	TCGA-44-3918	TCGA-91-A4BD	0.752689746873308
patient	TCGA-44-3918	TCGA-93-A4JN	0.716873399781498
patient	TCGA-44-3918	TCGA-93-A4JO	0.756329654331309
patient	TCGA-44-3918	TCGA-93-A4JQ	0.788910441699513
patient	TCGA-44-3918	TCGA-L4-A4E6	0.786254385613915
patient	TCGA-44-3918	TCGA-L9-A8F4	0.780665586351612
patient	TCGA-44-3918	TCGA-MP-A4SV	0.776254868630169
patient	TCGA-44-3918	TCGA-MP-A4T4	0.819675554274617
patient	TCGA-44-3918	TCGA-MP-A4T7	0.702027840641794
patient	TCGA-44-3918	TCGA-MP-A4TE	0.580766144851603
patient	TCGA-44-3918	TCGA-MP-A4TF	0.693779031649689
patient	TCGA-44-3918	TCGA-NJ-A4YG	0.784411444428026
patient	TCGA-44-6146	TCGA-44-3918	0.614306057951812
patient	TCGA-44-6146	TCGA-44-6146	1.0
patient	TCGA-44-6146	TCGA-44-A47F	0.601920332955737
patient	TCGA-44-6146	TCGA-49-AARO	0.647033817365756
patient	TCGA-44-6146	TCGA-4B-A93V	0.540857453596938
patient	TCGA-44-6146	TCGA-73-A9RS	0.673503388028562
patient	TCGA-44-6146	TCGA-86-A4D0	0.426259584913733
patient	TCGA-44-6146	TCGA-86-A4P7	0.655871803186112
patient	TCGA-44-6146	TCGA-86-A4P8	0.706224636152978
patient	TCGA-44-6146	TCGA-91-A4BC	0.625321254066086
patient	TCGA-44-6146	TCGA-91-A4BD	0.693174765034888
patient	TCGA-44-6146	TCGA-93-A4JN	0.717726884348533
patient	TCGA-44-6146	TCGA-93-A4JO	0.754630110752605
patient	TCGA-44-6146	TCGA-93-A4JQ	0.699598051578738
patient	TCGA-44-6146	TCGA-L4-A4E6	0.662661204298743
patient	TCGA-44-6146	TCGA-L9-A8F4	0.74267763986584
patient	TCGA-44-6146	TCGA-MP-A4SV	0.651511551541436
patient	TCGA-44-6146	TCGA-MP-A4T4	0.637286575391197
patient	TCGA-44-6146	TCGA-MP-A4T7	0.762487646465429
patient	TCGA-44-6146	TCGA-MP-A4TE	0.573246406008293
patient	TCGA-44-6146	TCGA-MP-A4TF	0.759523208970045
patient	TCGA-44-6146	TCGA-NJ-A4YG	0.695472789969608
patient	TCGA-44-A47F	TCGA-44-3918	0.600652876609196
patient	TCGA-44-A47F	TCGA-44-6146	0.601920332955737
patient	TCGA-44-A47F	TCGA-44-A47F	1.0
patient	TCGA-44-A47F	TCGA-49-AARO	0.588869941624301
patient	TCGA-44-A47F	TCGA-4B-A93V	0.598232130545399
patient	TCGA-44-A47F	TCGA-73-A9RS	0.567042103165294
patient	TCGA-44-A47F	TCGA-86-A4D0	0.453206625202223
patient	TCGA-44-A47F	TCGA-86-A4P7	0.652657991523633
patient	TCGA-44-A47F	TCGA-86-A4P8	0.645118802478592
patient	TCGA-44-A47F	TCGA-91-A4BC	0.578498974523123
patient	TCGA-44-A47F	TCGA-91-A4BD	0.692720495239841
patient	TCGA-44-A47F	TCGA-93-A4JN	0.63033124690482
patient	TCGA-44-A47F	TCGA-93-A4JO	0.64539981772355
patient	TCGA-44-A47F	TCGA-93-A4JQ	0.608829879905762
patient	TCGA-44-A47F	TCGA-L4-A4E6	0.620535216831611
patient	TCGA-44-A47F	TCGA-L9-A8F4	0.643596505602931
patient	TCGA-44-A47F	TCGA-MP-A4SV	0.645023161681191
patient	TCGA-44-A47F	TCGA-MP-A4T4	0.567609578375548
patient	TCGA-44-A47F	TCGA-MP-A4T7	0.643428810822321
patient	TCGA-44-A47F	TCGA-MP-A4TE	0.601639540807969
patient	TCGA-44-A47F	TCGA-MP-A4TF	0.660799444302953
patient	TCGA-44-A47F	TCGA-NJ-A4YG	0.736773381010253
patient	TCGA-49-AARO	TCGA-44-3918	0.76280769984351
patient	TCGA-49-AARO	TCGA-44-6146	0.647033817365756
patient	TCGA-49-AARO	TCGA-44-A47F	0.588869941624301
patient	TCGA-49-AARO	TCGA-49-AARO	1.0
patient	TCGA-49-AARO	TCGA-4B-A93V	0.555806632525027
patient	TCGA-49-AARO	TCGA-73-A9RS	0.625146372603391
patient	TCGA-49-AARO	TCGA-86-A4D0	0.448738524936197
