system	permutation	sample_number	cumulative_consensus_peaks
patient	1	1	102162
patient	1	2	124153
patient	1	3	134281
patient	1	4	135442
patient	1	5	137383
patient	1	6	138319
patient	1	7	138413
patient	1	8	138462
patient	1	9	138498
patient	1	10	138605
patient	1	11	138755
patient	1	12	138819
patient	1	13	138824
patient	1	14	138849
patient	1	15	138860
patient	1	16	138868
patient	1	17	138889
patient	1	18	138902
patient	1	19	138906
patient	1	20	138923
patient	1	21	138923
patient	1	22	138923
patient	2	1	109044
patient	2	2	122085
patient	2	3	134318
patient	2	4	137570
patient	2	5	137811
patient	2	6	138303
patient	2	7	138381
patient	2	8	138510
patient	2	9	138530
patient	2	10	138768
patient	2	11	138776
patient	2	12	138816
patient	2	13	138822
patient	2	14	138828
patient	2	15	138838
patient	2	16	138898
patient	2	17	138912
patient	2	18	138920
patient	2	19	138922
patient	2	20	138922
patient	2	21	138922
patient	2	22	138923
patient	3	1	103104
patient	3	2	123219
patient	3	3	133387
patient	3	4	134433
patient	3	5	135773
patient	3	6	136819
patient	3	7	137742
patient	3	8	138262
patient	3	9	138562
patient	3	10	138634
patient	3	11	138812
patient	3	12	138816
patient	3	13	138862
patient	3	14	138870
patient	3	15	138874
patient	3	16	138883
patient	3	17	138886
patient	3	18	138897
patient	3	19	138913
patient	3	20	138916
patient	3	21	138921
patient	3	22	138923
patient	4	1	107640
patient	4	2	125317
patient	4	3	131997
patient	4	4	137157
patient	4	5	137813
patient	4	6	138353
patient	4	7	138426
patient	4	8	138474
patient	4	9	138601
patient	4	10	138801
patient	4	11	138816
patient	4	12	138841
patient	4	13	138844
patient	4	14	138877
patient	4	15	138889
patient	4	16	138903
patient	4	17	138912
patient	4	18	138921
patient	4	19	138921
patient	4	20	138923
patient	4	21	138923
patient	4	22	138923
patient	5	1	111823
patient	5	2	132036
patient	5	3	136652
patient	5	4	137769
patient	5	5	138114
patient	5	6	138349
patient	5	7	138478
patient	5	8	138494
patient	5	9	138562
patient	5	10	138711
patient	5	11	138841
patient	5	12	138869
patient	5	13	138883
patient	5	14	138907
patient	5	15	138912
patient	5	16	138916
patient	5	17	138917
patient	5	18	138917
patient	5	19	138923
patient	5	20	138923
patient	5	21	138923
patient	5	22	138923
patient	6	1	110233
patient	6	2	126599
patient	6	3	135642
patient	6	4	136355
patient	6	5	137120
patient	6	6	137535
patient	6	7	137640
patient	6	8	137775
patient	6	9	137956
patient	6	10	138160
patient	6	11	138582
patient	6	12	138699
patient	6	13	138738
patient	6	14	138764
patient	6	15	138881
patient	6	16	138884
patient	6	17	138916
patient	6	18	138920
patient	6	19	138921
patient	6	20	138921
patient	6	21	138921
patient	6	22	138923
patient	7	1	111823
patient	7	2	132690
patient	7	3	134846
patient	7	4	135942
patient	7	5	136636
patient	7	6	137694
patient	7	7	137965
patient	7	8	138391
patient	7	9	138421
patient	7	10	138462
patient	7	11	138603
patient	7	12	138670
patient	7	13	138675
patient	7	14	138725
patient	7	15	138867
patient	7	16	138868
patient	7	17	138876
patient	7	18	138914
patient	7	19	138919
patient	7	20	138922
patient	7	21	138923
patient	7	22	138923
patient	8	1	112011
patient	8	2	122883
patient	8	3	128848
patient	8	4	135845
patient	8	5	136204
patient	8	6	137239
patient	8	7	138276
patient	8	8	138465
patient	8	9	138645
patient	8	10	138710
patient	8	11	138749
patient	8	12	138758
patient	8	13	138804
patient	8	14	138823
patient	8	15	138827
patient	8	16	138891
patient	8	17	138907
patient	8	18	138915
patient	8	19	138920
patient	8	20	138923
patient	8	21	138923
patient	8	22	138923
patient	9	1	107318
patient	9	2	121255
patient	9	3	134221
patient	9	4	135555
patient	9	5	136402
patient	9	6	136865
patient	9	7	137126
patient	9	8	137318
patient	9	9	137506
patient	9	10	138142
patient	9	11	138169
patient	9	12	138312
patient	9	13	138460
patient	9	14	138562
patient	9	15	138823
patient	9	16	138825
patient	9	17	138837
patient	9	18	138859
patient	9	19	138880
patient	9	20	138915
patient	9	21	138918
patient	9	22	138923
patient	10	1	119408
patient	10	2	126753
patient	10	3	132582
patient	10	4	136576
patient	10	5	137256
patient	10	6	138302
patient	10	7	138433
patient	10	8	138474
patient	10	9	138599
patient	10	10	138727
patient	10	11	138777
patient	10	12	138781
patient	10	13	138830
patient	10	14	138861
patient	10	15	138871
patient	10	16	138872
patient	10	17	138881
patient	10	18	138884
patient	10	19	138884
patient	10	20	138884
patient	10	21	138903
patient	10	22	138923
patient	11	1	131866
patient	11	2	136514
patient	11	3	137296
patient	11	4	137716
patient	11	5	138088
patient	11	6	138580
patient	11	7	138673
patient	11	8	138702
patient	11	9	138786
patient	11	10	138822
patient	11	11	138848
patient	11	12	138849
patient	11	13	138901
patient	11	14	138911
patient	11	15	138914
patient	11	16	138917
patient	11	17	138919
patient	11	18	138919
patient	11	19	138919
patient	11	20	138923
patient	11	21	138923
patient	11	22	138923
patient	12	1	125294
patient	12	2	133185
patient	12	3	135715
patient	12	4	136593
patient	12	5	137815
patient	12	6	138110
patient	12	7	138437
patient	12	8	138552
patient	12	9	138593
patient	12	10	138663
patient	12	11	138690
patient	12	12	138738
patient	12	13	138745
patient	12	14	138784
patient	12	15	138809
patient	12	16	138849
patient	12	17	138897
patient	12	18	138902
patient	12	19	138902
patient	12	20	138911
patient	12	21	138921
patient	12	22	138923
patient	13	1	105118
patient	13	2	117447
patient	13	3	128978
patient	13	4	130788
patient	13	5	131620
patient	13	6	135932
patient	13	7	136840
patient	13	8	136969
patient	13	9	137154
patient	13	10	137244
patient	13	11	137616
patient	13	12	137784
patient	13	13	138203
patient	13	14	138531
patient	13	15	138702
patient	13	16	138849
patient	13	17	138871
patient	13	18	138884
patient	13	19	138893
patient	13	20	138922
patient	13	21	138922
patient	13	22	138923
patient	14	1	107640
patient	14	2	134691
patient	14	3	136255
patient	14	4	137563
patient	14	5	138192
patient	14	6	138339
patient	14	7	138636
patient	14	8	138658
patient	14	9	138674
patient	14	10	138682
patient	14	11	138750
patient	14	12	138772
patient	14	13	138840
patient	14	14	138857
patient	14	15	138881
patient	14	16	138894
patient	14	17	138898
patient	14	18	138900
patient	14	19	138900
patient	14	20	138908
patient	14	21	138918
patient	14	22	138923
patient	15	1	114206
patient	15	2	132231
patient	15	3	134036
patient	15	4	135878
patient	15	5	136315
patient	15	6	137785
patient	15	7	138218
patient	15	8	138361
patient	15	9	138505
patient	15	10	138536
patient	15	11	138612
patient	15	12	138737
patient	15	13	138748
patient	15	14	138769
patient	15	15	138810
patient	15	16	138835
patient	15	17	138848
patient	15	18	138877
patient	15	19	138877
patient	15	20	138915
patient	15	21	138918
patient	15	22	138923
patient	16	1	123022
patient	16	2	133151
patient	16	3	135147
patient	16	4	136903
patient	16	5	137835
patient	16	6	138321
patient	16	7	138626
patient	16	8	138721
patient	16	9	138776
patient	16	10	138833
patient	16	11	138864
patient	16	12	138867
patient	16	13	138869
patient	16	14	138877
patient	16	15	138880
patient	16	16	138884
patient	16	17	138901
patient	16	18	138910
patient	16	19	138913
patient	16	20	138913
patient	16	21	138923
patient	16	22	138923
patient	17	1	124776
patient	17	2	132690
patient	17	3	134562
patient	17	4	135907
patient	17	5	136986
patient	17	6	137471
patient	17	7	137561
patient	17	8	137942
patient	17	9	137969
patient	17	10	138013
patient	17	11	138199
patient	17	12	138493
patient	17	13	138515
patient	17	14	138790
patient	17	15	138834
patient	17	16	138835
patient	17	17	138860
patient	17	18	138872
patient	17	19	138886
patient	17	20	138898
patient	17	21	138921
patient	17	22	138923
patient	18	1	127182
patient	18	2	135805
patient	18	3	136959
patient	18	4	137135
patient	18	5	137364
patient	18	6	137605
patient	18	7	137991
patient	18	8	138605
patient	18	9	138631
patient	18	10	138650
patient	18	11	138760
patient	18	12	138794
patient	18	13	138840
patient	18	14	138844
patient	18	15	138859
patient	18	16	138885
patient	18	17	138888
patient	18	18	138897
patient	18	19	138920
patient	18	20	138923
patient	18	21	138923
patient	18	22	138923
patient	19	1	125294
patient	19	2	131885
patient	19	3	134509
patient	19	4	135519
patient	19	5	136331
patient	19	6	137042
patient	19	7	137687
patient	19	8	138369
patient	19	9	138592
patient	19	10	138635
patient	19	11	138702
patient	19	12	138764
patient	19	13	138772
patient	19	14	138805
patient	19	15	138854
patient	19	16	138879
patient	19	17	138883
patient	19	18	138901
patient	19	19	138913
patient	19	20	138916
patient	19	21	138917
patient	19	22	138923
patient	20	1	127182
patient	20	2	136065
patient	20	3	137262
patient	20	4	138031
patient	20	5	138328
patient	20	6	138640
patient	20	7	138718
patient	20	8	138793
patient	20	9	138825
patient	20	10	138853
patient	20	11	138866
patient	20	12	138869
patient	20	13	138870
patient	20	14	138880
patient	20	15	138883
patient	20	16	138889
patient	20	17	138891
patient	20	18	138904
