system	sample_number	mean_cumulative_consensus_peaks	sem_cumulative_consensus_peaks	observed_full_consensus_peaks	permutations	seed
patient	1	115534.137	288.4025606426123	138923	1000	20260814
patient	2	129037.048	149.15605756121496	138923	1000	20260814
patient	3	133783.879	87.78749259558278	138923	1000	20260814
patient	4	135889.222	57.172544219471035	138923	1000	20260814
patient	5	136982.012	38.579821312077726	138923	1000	20260814
patient	6	137616.766	26.724788072868364	138923	1000	20260814
patient	7	138016.767	18.621991603537463	138923	1000	20260814
patient	8	138287.114	13.678149318262282	138923	1000	20260814
patient	9	138465.074	9.723357661201462	138923	1000	20260814
patient	10	138591.025	7.161219130457777	138923	1000	20260814
patient	11	138680.394	5.135355356766001	138923	1000	20260814
patient	12	138742.952	3.90420523509414	138923	1000	20260814
patient	13	138789.603	2.865167460236871	138923	1000	20260814
patient	14	138824.939	2.072792740987589	138923	1000	20260814
patient	15	138850.221	1.5369711905552579	138923	1000	20260814
patient	16	138869.33	1.1839268492380968	138923	1000	20260814
patient	17	138884.417	0.9256240560694305	138923	1000	20260814
patient	18	138895.869	0.6909480798821593	138923	1000	20260814
patient	19	138904.639	0.5193981653237154	138923	1000	20260814
patient	20	138912.359	0.345200353965821	138923	1000	20260814
patient	21	138918.298	0.21160333476527204	138923	1000	20260814
patient	22	138923.0	0.0	138923	1000	20260814
PDX	1	12346.813	358.62047722727397	64641	1000	20260814
PDX	2	20339.226	404.3505818395195	64641	1000	20260814
PDX	3	26546.684	432.10259672471324	64641	1000	20260814
PDX	4	31249.91	435.7570473764461	64641	1000	20260814
PDX	5	36121.471	442.64968907749113	64641	1000	20260814
PDX	6	40019.874	433.33621968560993	64641	1000	20260814
PDX	7	44072.188	420.3428595613826	64641	1000	20260814
PDX	8	48142.855	398.40482390363235	64641	1000	20260814
PDX	9	51621.001	370.3614030104094	64641	1000	20260814
PDX	10	54959.154	328.952376602383	64641	1000	20260814
PDX	11	58229.23	272.8570114726932	64641	1000	20260814
PDX	12	61619.207	192.0404518618465	64641	1000	20260814
PDX	13	64641.0	0.0	64641	1000	20260814
cell_line	1	15598.492	300.46762537723737	83465	1000	20260814
cell_line	2	25683.188	345.1610246734263	83465	1000	20260814
cell_line	3	32543.633	334.1537221135105	83465	1000	20260814
cell_line	4	38658.248	326.4943648284926	83465	1000	20260814
cell_line	5	43549.154	322.07903804972307	83465	1000	20260814
cell_line	6	47780.351	307.86696062949994	83465	1000	20260814
cell_line	7	51910.482	293.4147959155058	83465	1000	20260814
cell_line	8	55814.3	270.6784345989849	83465	1000	20260814
cell_line	9	59272.988	252.51244349531754	83465	1000	20260814
cell_line	10	62322.896	236.83408506596578	83465	1000	20260814
cell_line	11	65327.923	219.69084833445547	83465	1000	20260814
cell_line	12	67834.355	207.71517641590148	83465	1000	20260814
cell_line	13	70402.898	190.1322087664426	83465	1000	20260814
cell_line	14	72836.957	167.502742550423	83465	1000	20260814
cell_line	15	75075.997	148.13792529903716	83465	1000	20260814
cell_line	16	77361.142	126.84276054130041	83465	1000	20260814
cell_line	17	79421.831	104.25551747203521	83465	1000	20260814
cell_line	18	81445.466	71.29711935325173	83465	1000	20260814
cell_line	19	83465.0	0.0	83465	1000	20260814
