system	sample_id	sample_slug	TF	TF_role	motif_test_status	motif_token	q_value	log2_odds_ratio	motif_enriched_q1e-5
patient	TCGA-44-3918	TCGA-44-3918	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	0.0	0.14016210815454921	TRUE
patient	TCGA-44-3918	TCGA-44-3918	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.5728126464901	TRUE
patient	TCGA-44-3918	TCGA-44-3918	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.0	0.111557385468121	TRUE
patient	TCGA-44-3918	TCGA-44-3918	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	0.4002	0.006052646364710922	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000276|MA0640.3	0.0	1.05007875556751	TRUE
patient	TCGA-44-3918	TCGA-44-3918	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.0	0.6642025146269785	TRUE
patient	TCGA-44-3918	TCGA-44-3918	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000356|MA0148.5	0.0	0.15103546149038838	TRUE
patient	TCGA-44-3918	TCGA-44-3918	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000357|MA0047.4	0.0	0.152331349224778	TRUE
patient	TCGA-44-3918	TCGA-44-3918	FOXA3	LUAD_HC_TF	TESTED	JASPAR2024|000358|MA1683.2	0.0	0.19891761440458294	TRUE
patient	TCGA-44-3918	TCGA-44-3918	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.0	0.1397589268537493	TRUE
patient	TCGA-44-3918	TCGA-44-3918	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	0.0006	0.05285007033533278	FALSE
patient	TCGA-44-3918	TCGA-44-3918	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	0.001	0.03914887260439845	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.0	0.231581959207768	TRUE
patient	TCGA-44-3918	TCGA-44-3918	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.0	0.19018978844048917	TRUE
patient	TCGA-44-3918	TCGA-44-3918	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.0	0.15616973175411694	TRUE
