system	TF	TF_role	n_all_samples	n_peak_count_matchable_samples	n_motif_enriched	fraction_enriched_all_samples	fraction_enriched_matchable_samples	half_threshold_all_samples	half_threshold_matchable_samples	support_fixed_original_denominator	support_matchable_denominator	mean_log2_odds_ratio_tested
patient	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.13240415848183243
patient	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.5571857674712715
patient	CREB3L2	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.08240880973298507
patient	E2F5	LUAD_HC_TF	22	22	2	0.09090909090909091	0.09090909090909091	11	11	FALSE	FALSE	0.008088724155142581
patient	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.8976387590374832
patient	ETV1	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.6274473522772113
patient	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.14681965922764212
patient	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.14598253605017575
patient	FOXA3	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.199154187690011
patient	FOXD2	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.1103655583152394
patient	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	13	0.5909090909090909	0.5909090909090909	11	11	TRUE	TRUE	0.06573545918800165
patient	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	9	0.4090909090909091	0.4090909090909091	11	11	FALSE	FALSE	0.09580013147940139
patient	NFATC4	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.25504148012827554
patient	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.19242585067976167
patient	NR3C2	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.159808055590005
patient	XBP1	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.17169933983409816
patient	ZBTB18	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.021645847486402824
patient	ZNF141	LUAD_HC_TF	22	22	2	0.09090909090909091	0.09090909090909091	11	11	FALSE	FALSE	0.025610897627057615
patient	ZNF19	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.024923148945410496
patient	ZNF254	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.20751938635324083
patient	ZNF281	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	-0.01664628023544957
patient	ZNF33A	LUAD_HC_TF	22	22	22	1.0	1.0	11	11	TRUE	TRUE	0.1760724956022076
patient	ZNF33B	LUAD_HC_TF	22	22	0	0.0	0.0	11	11	FALSE	FALSE	0.0062359847260801725
