analysis_definition	system	sample_id	TF	promoter_accessible
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ABHD14B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ABRA	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	APBB1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ARX	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ASCL5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ATOH8	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	BATF3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	BCLAF3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	CIITA	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	CREB3L2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	CREBRF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	CRY2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	CSRNP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	DMRTC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	DRGX	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	E2F5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ELF3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ELF5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	EPAS1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ESR1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ETV1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	FOXA1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	FOXA2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	FOXA3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	FOXD2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	FOXP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	FOXP4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	GATA5	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	GATA6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	GCM1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	GLIS3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	HNF1A	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	HNF1B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	HNF4G	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	HOPX	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	HOXD1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	IKZF4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	IL4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	INSM2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	IRF7	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	IRX3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	JADE1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	KANK2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	KAT2B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	KLF2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	KLF9	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	LHX9	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	LIMD1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	LMO3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	LPIN2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	LYL1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MAGEC3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MAGED2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MAGEE2	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MDFIC	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MEF2C	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MEF2D	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MEIS3P1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MEIS3P2	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MESP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MITF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MLLT3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MLLT6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MSANTD1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MXD4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MYRF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	MYRFL	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NANOGP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NCOA7	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NEUROG3	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NFATC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NFATC4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NFE2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NKX2-1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NOTO	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NR0B2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NR1H4	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NR2F1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NR2F6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	NR3C2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	OLIG1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ONECUT1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	PHC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	POU1F1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	PPARGC1A	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	PRDM16	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	PRDM8	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	RARA	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	RORB	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	RORC	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	SAMD11	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	SMAD6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	SMAD7	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	SP110	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	SP5	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	SPDEF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	TBX15	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	TBX4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	TBXT	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	TCF21	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	TFCP2L1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	TOX3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	TP53INP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	VDR	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	VENTX	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	VSX1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	WTIP	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	WWC1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	WWC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	XBP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZBTB10	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZBTB16	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZBTB18	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZBTB42	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZBTB46	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZFHX2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZFP2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZFP57	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZMYND15	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF117	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF141	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF19	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF214	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF239	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF254	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF281	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF33A	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF33B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF341	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF382	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF396	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF429	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF441	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF444	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF467	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF483	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-3918	ZNF486	TRUE
