cohort	endpoint	model	TF	n	events	beta	HR	lower95	upper95	p_value	model_likelihood_p	FDR	log2_HR	log2_lower95	log2_upper95	direction	nominal_significant	FDR_significant
GSE41271_LUAD	OS	univariable	ABHD14B	178	69	-0.415744141195088	0.659849077084426	0.408512106689499	1.06582105499289	0.0892442584672097	0.0869043708641488	0.27665720124835	-0.599792010780794	-1.29154926008535	0.0919652385237656	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ABHD14B	178	69	-0.370991215356146	0.690050003375685	0.414559496980194	1.14861439824048	0.153577036666453	0.000851051388856909	0.589210309792228	-0.535227186607682	-1.27034892479854	0.199894551583181	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	CREB3L2	178	69	-0.136273381007574	0.872604046504321	0.543543184457063	1.40087824435938	0.572597874168473	0.572114482358626	0.771762352140116	-0.196600930984799	-0.87953343309009	0.486331571120492	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	CREB3L2	178	69	-0.20759507536694	0.812535985943578	0.499787669536257	1.32099042992778	0.402458131055081	0.00148183854300548	0.702315783076227	-0.299496385744854	-1.00061278633656	0.401620014846852	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	CREBRF	178	69	-0.226050850481919	0.79767753834711	0.495426338010426	1.28432706613615	0.352256104696375	0.350396757200761	0.595464315582347	-0.326122440978997	-1.0132575272579	0.361012645299901	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	CREBRF	178	69	-0.117912789157572	0.888773559925718	0.539052970360095	1.46538185346675	0.643949979600231	0.00180317534040169	0.767786514138737	-0.170112196175016	-0.891501047659176	0.551276655309145	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	CRY2	178	69	-0.808284553441064	0.445621851390874	0.270985206533863	0.73280322928704	0.00144785257530176	0.00105728205987147	0.0448834298343545	-1.16610811687657	-1.88371399992364	-0.448502233829507	Favorable	TRUE	TRUE
GSE41271_LUAD	OS	multivariable	CRY2	178	69	-0.633486033077203	0.530738400756172	0.30845742470708	0.913199772398781	0.0221433626800142	0.000211173535874615	0.368175712289413	-0.913927158392902	-1.6968567218912	-0.130997594894602	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	univariable	CSRNP1	178	69	-0.566079044810226	0.567747191453436	0.349110050538512	0.923310208073504	0.0225157024970479	0.0207380161729169	0.149200926282921	-0.816679430698874	-1.518246203613	-0.11511265778475	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	CSRNP1	178	69	-0.581108702715697	0.559277949718351	0.337960791195231	0.925526964044982	0.0237532717606073	0.000230787694984425	0.368175712289413	-0.838362643625356	-1.56507221414727	-0.111653073103444	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	univariable	E2F5	178	69	-0.415685779093381	0.659887588387163	0.409038934648438	1.0645725685788	0.0884687958296254	0.0860957731256157	0.27665720124835	-0.599707812066086	-1.28968992127827	0.0902742971460945	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	E2F5	178	69	-0.277099935314478	0.757978744481193	0.465061254691138	1.23538947029	0.266218061322376	0.00118896096641318	0.639428233947125	-0.39977070250885	-1.1045073442172	0.304965939199504	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ELF3	178	69	0.137315066289525	1.14718953233682	0.71264065320055	1.84671449375314	0.571873747796448	0.571611395812846	0.771762352140116	0.198103765175237	-0.488753309286031	0.884960839636505	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	ELF3	178	69	0.205982912066937	1.22873220732221	0.7544763708621	2.00110022741435	0.407796261141035	0.00149185548510965	0.702315783076227	0.297170525746837	-0.406452376605758	1.00079342809943	Adverse	FALSE	FALSE
GSE41271_LUAD	OS	univariable	ETV1	178	69	-0.557504584792498	0.572636247600825	0.352807727211368	0.929436196475085	0.0240646655295034	0.0221552583544276	0.149200926282921	-0.804309099752997	-1.50304593567153	-0.105572263834466	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	multivariable	ETV1	178	69	-0.534528554402949	0.585945466448897	0.351949621549223	0.975514870965695	0.0398517782809812	0.000338405675619978	0.411801708903473	-0.77116169465068	-1.50655916018006	-0.0357642291212983	Favorable	TRUE	FALSE
GSE41271_LUAD	OS	univariable	FOXA3	178	69	-0.304670718645862	0.737366135340648	0.457956954661578	1.18724874032974	0.209955202941828	0.208498292002045	0.382859487717451	-0.439546934894461	-1.12671609528734	0.24762222549842	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	FOXA3	178	69	-0.282108851069281	0.754191585504362	0.457350485813664	1.24369595154935	0.268981036307781	0.0011956650363627	0.639428233947125	-0.406997040428535	-1.12862791133666	0.314633830479587	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	FOXD2	178	69	-0.307998934936202	0.734916100741185	0.455083032698092	1.18682006649749	0.207836137290134	0.205810029313572	0.382859487717451	-0.444348536031541	-1.13579829697643	0.247101224913353	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	FOXD2	178	69	-0.345261180262644	0.70803540444344	0.423797623990327	1.18290926038044	0.187339520699069	0.000965519095453373	0.589210309792228	-0.498106592576388	-1.23855259558451	0.24233941043173	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	MAGED2	178	69	-0.157254754514765	0.854486346832646	0.532695532777069	1.37066461420649	0.514250018418335	0.513987390258403	0.759130979569924	-0.226870654494663	-0.908616912481622	0.454875603492295	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	multivariable	MAGED2	178	69	-0.0701803391167354	0.932225687988853	0.574851579487481	1.51177236761027	0.776018203407852	0.00190187160847752	0.859163010915836	-0.10124882721162	-0.79873857913897	0.59624092471573	Favorable	FALSE	FALSE
GSE41271_LUAD	OS	univariable	MXD4	178	69	-0.209706882487153	0.81082187723356	0.502244053110509	1.30898934995632	0.390813679793655	0.390238373928664	0.605761203680165	-0.3025430794045	-0.993539518255866	0.388453359446866	Favorable	FALSE	FALSE
