dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
GDSC2	1,3-Bis(2-chloroethyl)-1-nitrosourea	1,3-Bis(2-chloroethyl)-1-nitrosourea	CID:2578	2578	DLGOEMSEDOSKAD-UHFFFAOYSA-N		DNA replication
GDSC2	2-fluoroAraA (fludarabine)	2-fluoroAraA (fludarabine)	CID:657237	657237	HBUBKKRHXORPQB-FJFJXFQQSA-N		Unclassified
GDSC2	2-Pyridinecarboxylic acid	2-Pyridinecarboxylic acid	CID:1018	1018	SIOXPEMLGUPBBT-UHFFFAOYSA-N	Inflammatory related	Other
GDSC2	5-Fluorouracil	5-Fluorouracil	CID:3385	3385	GHASVSINZRGABV-UHFFFAOYSA-N	Antimetabolite (DNA & RNA)	Other
GDSC2	681640	681640	NAME:681640			WEE1, CHEK1	Cell cycle
GDSC2	Abt-737	Abt-737	CID:11228183	11228183	HPLNQCPCUACXLM-PGUFJCEWSA-N	BCL2, BCL-XL,  BCL-W, BCL-B, BFL1	Apoptosis regulation
GDSC2	Acetalax	Acetalax	CID:8269	8269	PHPUXYRXPHEJDF-UHFFFAOYSA-N		Unclassified
GDSC2	Adavosertib	Adavosertib	CID:24856436	24856436		WEE1, PLK1	Cell cycle
GDSC2	Afatinib	Afatinib	CID:10184653	10184653	ULXXDDBFHOBEHA-CWDCEQMOSA-N	ERBB2, EGFR	EGFR signaling
GDSC2	Afuresertib	Afuresertib	CID:46843057	46843057	AFJRDFWMXUECEW-LBPRGKRZSA-N	AKT1, AKT2, AKT3	PI3K/MTOR signaling
GDSC2	AGI-5198	AGI-5198	CID:56645356	56645356	FNYGWXSATBUBER-UHFFFAOYSA-N	IDH1 (R132H)	Metabolism
GDSC2	AGI-6780	AGI-6780	CID:71299339	71299339	CCAWRGNYALGPQH-UHFFFAOYSA-N	IDH2(R140Q)///IDH2 R140Q mutant	Metabolism
GDSC2	Alisertib	Alisertib	CID:24771867	24771867		AURKA	Mitosis
GDSC2	Alpelisib	Alpelisib	CID:56649450	56649450		PI3Kalpha	PI3K/MTOR signaling
GDSC2	AMG-319	AMG-319	CID:68947304	68947304	KWRYMZHCQIOOEB-LBPRGKRZSA-N	PI3K (beta sparing)	PI3K/MTOR signaling
GDSC2	Aminofurazanyl-azabenzimidazole 6n	Aminofurazanyl-azabenzimidazole 6n	CID:16095342	16095342	YOVNFNXUCOWYSG-UHFFFAOYSA-N	ROCK1, ROCK2	Cytoskeleton
GDSC2	AT13148	AT13148	CID:24905401	24905401	IIRWNGPLJQXWFJ-KRWDZBQOSA-N	AKT1	PI3K/MTOR signaling
GDSC2	Axitinib	Axitinib	CID:6450551	6450551	RITAVMQDGBJQJZ-FMIVXFBMSA-N	PDGFR, KIT, VEGFR	RTK signaling
GDSC2	AZ6102	AZ6102	CID:135905416	135905416	WCPTUQOMNJBIET-CALCHBBNSA-N	TNKS1, TNKS2	WNT signaling
GDSC2	AZ960	AZ960	CID:25099184	25099184	SUNXHXDJOIXABJ-NSHDSACASA-N	JAK2, JAK3	Other, kinases
GDSC2	AZD1208	AZD1208	CID:58423153	58423153		PIM1, PIM2, PIM3	Other, kinases
GDSC2	AZD1332	AZD1332	CID:49831044	49831044		NTRK1, NTRK2, NTRK3	RTK signaling
GDSC2	AZD2014	AZD2014	CID:25262792	25262792		mTORC1, mTORC2	PI3K/MTOR signaling
GDSC2	AZD3759	AZD3759	CID:78209992	78209992	MXDSJQHFFDGFDK-CYBMUJFWSA-N	EGFR	EGFR signaling
GDSC2	Azd4547	Azd4547	CID:51039095	51039095		FGRF1, FGFR2, FGFR3///FGFR1, FGFR2, FGFR3///FGFR1, FGFR2, FGFR3	RTK signaling
GDSC2	AZD5153	AZD5153	CID:118693659	118693659		BRD4	Chromatin other
GDSC2	AZD5438	AZD5438	CID:16747683	16747683		CDK2	Cell cycle
GDSC2	AZD5582	AZD5582	CID:49847690	49847690	WLMCRYCCYXHPQF-ZVMUOSSASA-N	IAP///XIAP, cIAP	Other///Apoptosis regulation
GDSC2	AZD5991	AZD5991	CID:131634760	131634760		MCL1	Apoptosis regulation
GDSC2	AZD6482	AZD6482	CID:44137675	44137675	IRTDIKMSKMREGO-OAHLLOKOSA-N	PI3Kbeta	PI3K/MTOR signaling
GDSC2	AZD6738	AZD6738	CID:54761306	54761306	OHUHVTCQTUDPIJ-JYCIKRDWSA-N	ATR	Genome integrity
GDSC2	AZD7762	AZD7762	CID:11152667	11152667	IAYGCINLNONXHY-LBPRGKRZSA-N	CHEK1, CHEK2	Cell cycle
GDSC2	AZD8055	AZD8055	CID:25262965	25262965	KVLFRAWTRWDEDF-IRXDYDNUSA-N	MTORC1, MTORC2	PI3K/MTOR signaling
GDSC2	AZD8186	AZD8186	CID:52913813	52913813	LMJFJIDLEAWOQJ-CQSZACIVSA-N	PI3Kbeta, PI3Kdelta///PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling
GDSC2	BDP-00009066	BDP-00009066	NAME:BDP00009066			MRCKB_HUMAN	Cytoskeleton
GDSC2	BI-2536	BI-2536	CID:11364421	11364421	XQVVPGYIWAGRNI-JOCHJYFZSA-N	PLK1, PLK2, PLK3	Cell cycle
GDSC2	BIBR-1532	BIBR-1532	CID:9927531	9927531	PGFQXGLPJUCTOI-WYMLVPIESA-N	TERT	Genome integrity
GDSC2	BMS-345541 free base	BMS-345541 free base	CID:9926054	9926054		IKK1, IKK2///IKK-1, IKK-2	Other, kinases///Other
GDSC2	Bms-754807	Bms-754807	CID:24785538	24785538	LQVXSNNAFNGRAH-QHCPKHFHSA-N	IGF1R, IR	RTK signaling///IGF1R signaling
GDSC2	Bortezomib	Bortezomib	CID:387447	387447	GXJABQQUPOEUTA-RDJZCZTQSA-N	Proteasome	Protein stability and degradation
GDSC2	BPD-00008900	BPD-00008900	NAME:BPD00008900				Other
GDSC2	Buparlisib	Buparlisib	CID:16654980	16654980	CWHUFRVAEUJCEF-UHFFFAOYSA-N	PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma	PI3K/MTOR signaling
GDSC2	Camptothecin	Camptothecin	CID:24360	24360	VSJKWCGYPAHWDS-FQEVSTJZSA-N	TOP1	DNA replication
GDSC2	Capivasertib	Capivasertib	CID:25227436	25227436	JDUBGYFRJFOXQC-KRWDZBQOSA-N	AKT///AKT1, AKT2, AKT3, ROCK2	PI3K/MTOR signaling///Other, kinases
GDSC2	CDK9_5038	CDK9_5038	NAME:CDK95038			CDK9	Cell cycle
GDSC2	CDK9_5576	CDK9_5576	NAME:CDK95576			CDK9	Cell cycle
GDSC2	Cediranib	Cediranib	CID:9933475	9933475		VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB	RTK signaling
GDSC2	Cisplatin	Cisplatin	CID:24191118	24191118	DQLATGHUWYMOKM-UHFFFAOYSA-L	DNA crosslinker	DNA replication
GDSC2	Crizotinib	Crizotinib	CID:54613769	54613769	SCJHEFQWKWHQTO-GFCCVEGCSA-N	MET, ALK, ROS1	RTK signaling
