dataset	source_cell_id	depmap_id	match_method	eligible_luad
GDSC2	COLO 205			FALSE
GDSC2	NCI-H2369			FALSE
GDSC2	NCI-H2373			FALSE
GDSC2	NCI-H2461			FALSE
GDSC2	NCI-H2591			FALSE
GDSC2	NCI-H2595			FALSE
GDSC2	NCI-H2722			FALSE
GDSC2	NCI-H2731			FALSE
GDSC2	NCI-H2795			FALSE
GDSC2	NCI-H2803			FALSE
GDSC2	NCI-H2804			FALSE
GDSC2	NCI-H2810			FALSE
GDSC2	NCI-H2818			FALSE
GDSC2	NCI-H2869			FALSE
GDSC2	NCI-H290			FALSE
GDSC2	NCI-H513			FALSE
GDSC2	HCT 116			FALSE
GDSC2	HT-29			FALSE
GDSC2	IST-Mes1			FALSE
GDSC2	RKO			FALSE
GDSC2	SNU-175			FALSE
GDSC2	SNU-283			FALSE
GDSC2	SNU-407			FALSE
GDSC2	SNU-C1			FALSE
GDSC2	HCC1187			FALSE
GDSC2	HCC1806			FALSE
GDSC2	ZR-75-30			FALSE
GDSC2	BV-173			FALSE
GDSC2	CML-T1			FALSE
GDSC2	EM-2			FALSE
GDSC2	LAMA-84			FALSE
GDSC2	LS180			FALSE
GDSC2	LS513			FALSE
GDSC2	NCI-H630			FALSE
GDSC2	SNU-C2B			FALSE
GDSC2	SW48			FALSE
GDSC2	SW620			FALSE
GDSC2	SW948			FALSE
GDSC2	C2BBe1			FALSE
GDSC2	CaR-1			FALSE
GDSC2	CCK-81			FALSE
GDSC2	DiFi			FALSE
GDSC2	GP5d			FALSE
GDSC2	HCC2998			FALSE
GDSC2	HCT 15			FALSE
GDSC2	Ku812			FALSE
GDSC2	HT115			FALSE
GDSC2	HT-55			FALSE
GDSC2	201T			FALSE
GDSC2	A-427	ACH-000757	Cellosaurus	TRUE
GDSC2	CAL-72			FALSE
GDSC2	CL-40			FALSE
GDSC2	COLO 320HSR			FALSE
GDSC2	COR-L303			FALSE
GDSC2	COR-L32			FALSE
GDSC2	COR-L321			FALSE
GDSC2	CPC-N			FALSE
GDSC2	EMC-BAC-1			FALSE
GDSC2	EMC-BAC-2			FALSE
GDSC2	HuO-3N1			FALSE
GDSC2	HuO9			FALSE
GDSC2	IST-SL1			FALSE
GDSC2	IST-SL2			FALSE
GDSC2	LB647-SCLC			FALSE
GDSC2	LC-1/sq			FALSE
GDSC2	LC-2/ad			FALSE
GDSC2	Lu-134-A			FALSE
GDSC2	Lu-135			FALSE
GDSC2	Lu-139			FALSE
GDSC2	Lu-165			FALSE
GDSC2	MDST8			FALSE
GDSC2	MS-1 [Human lung carcinoma]			FALSE
GDSC2	NCI-H128			FALSE
GDSC2	NCI-H1304			FALSE
GDSC2	NCI-H1417			FALSE
GDSC2	NCI-H1688			FALSE
GDSC2	NCI-H1770			FALSE
GDSC2	NCI-H1836			FALSE
