dataset	canonical_drug	paired_lines	max_aac	median_aac	drug_name	eligible_drug
GDSC2	CID:2578	42	0.101097414133423	0.00644295762408048	1,3-Bis(2-chloroethyl)-1-nitrosourea	FALSE
GDSC2	CID:1018	42	0.116503595628516	0.0332318075536787	2-Pyridinecarboxylic acid	FALSE
GDSC2	CID:657237	42	0.638571758832657	0.0291696603927684	2-fluoroAraA (fludarabine)	TRUE
GDSC2	CID:3385	48	0.324755663067192	0.0652263353116176	5-Fluorouracil	TRUE
GDSC2	NAME:681640	44	0.279337419957551	0.0735570575155077	681640	TRUE
GDSC2	CID:56645356	44	0.167256850236196	0.06830697540837	AGI-5198	FALSE
GDSC2	CID:71299339	42	0.161761429033144	0.0662316730057632	AGI-6780	FALSE
GDSC2	CID:68947304	44	0.0863815476414632	0.028228071644816	AMG-319	FALSE
GDSC2	CID:24905401	44	0.245213076932373	0.069695683836827	AT13148	TRUE
GDSC2	CID:135905416	44	0.207652022655161	0.0908835859345453	AZ6102	TRUE
GDSC2	CID:25099184	42	0.38799560601614	0.184103872389803	AZ960	TRUE
GDSC2	CID:58423153	42	0.0758336165152151	0.0186902463284644	AZD1208	FALSE
GDSC2	CID:49831044	42	0.263873595848115	0.0678642595438394	AZD1332	TRUE
GDSC2	CID:25262792	42	0.436235790987921	0.187333881777058	AZD2014	TRUE
GDSC2	CID:78209992	44	0.406243638704434	0.052527842781058	AZD3759	TRUE
GDSC2	CID:118693659	42	0.61815800191554	0.207076993191745	AZD5153	TRUE
GDSC2	CID:16747683	42	0.267126080514374	0.0854328379840211	AZD5438	TRUE
GDSC2	CID:49847690	42	0.910829971367596	0.105514979658657	AZD5582	TRUE
GDSC2	CID:131634760	42	0.602546479525326	0	AZD5991	TRUE
GDSC2	CID:54761306	44	0.35226334428705	0.131911083022196	AZD6738	TRUE
GDSC2	CID:11152667	44	0.616354647415351	0.299321776741712	AZD7762	TRUE
GDSC2	CID:52913813	44	0.312416394196591	0.143569011262193	AZD8186	TRUE
GDSC2	CID:11228183	44	0.282608930412909	0.151652808414826	Abt-737	TRUE
GDSC2	CID:8269	42	0.675806552412823	0.0331836559720743	Acetalax	TRUE
GDSC2	CID:24856436	44	0.442270122693821	0.240476849523711	Adavosertib	TRUE
GDSC2	CID:10184653	48	0.676382571167026	0.167349832764822	Afatinib	TRUE
GDSC2	CID:46843057	44	0.373517696537026	0.14826391293185	Afuresertib	TRUE
GDSC2	CID:24771867	42	0.36125667341933	0.102786520170289	Alisertib	TRUE
GDSC2	CID:56649450	48	0.268086632001474	0.0589087724086436	Alpelisib	TRUE
GDSC2	CID:51039095	44	0.166784184338851	0.0568204607566972	Azd4547	FALSE
GDSC2	NAME:BDP00009066	44	0.277738455926047	0.0907038324411966	BDP-00009066	TRUE
GDSC2	CID:9927531	44	0.138612062732754	0.0258532150088553	BIBR-1532	FALSE
GDSC2	CID:9926054	42	0.173176743492348	0.0754927872941889	BMS-345541 free base	FALSE
GDSC2	NAME:BPD00008900	44	0.207264176465034	0.0723242743643896	BPD-00008900	TRUE
GDSC2	CID:387447	44	0.303537657916712	0.126071215863023	Bortezomib	TRUE
GDSC2	CID:16654980	44	0.386747600862335	0.24627172883369	Buparlisib	TRUE
GDSC2	NAME:CDK95038	42	0.705502377452849	0.454473185199112	CDK9_5038	TRUE
GDSC2	NAME:CDK95576	42	0.618285209606546	0.362368574471978	CDK9_5576	TRUE
GDSC2	CID:42623951	42	0.150231105721956	0.0360303917701032	CZC24832	FALSE
GDSC2	CID:24360	48	0.377543801589664	0.102429828400473	Camptothecin	TRUE
GDSC2	CID:25227436	44	0.337211388620948	0.112231230847191	Capivasertib	TRUE
GDSC2	CID:9933475	44	0.369546679983034	0.106089603890439	Cediranib	TRUE
GDSC2	CID:24191118	44	0.199213743454623	0.0288797622671175	Cisplatin	FALSE
GDSC2	CID:54613769	42	0.238930062653924	0.0272638189379985	Crizotinib	TRUE
GDSC2	CID:2907	44	0.185811582545096	0.0163273768006414	Cyclophosphamide	FALSE
GDSC2	CID:5351180	44	0.39568213468432	0.081303452344363	Cytarabine	TRUE
GDSC2	CID:44462760	44	0.144251087152402	0.0243295252184308	Dabrafenib	FALSE
GDSC2	CID:457193	48	0.692659496639314	0.288274447731794	Dactinomycin	TRUE
GDSC2	CID:11977753	44	0.355837300932374	0.138798411681366	Dactolisib	TRUE
GDSC2	CID:6914657	22	0.535656258182073	0.213593649728633	Daporinad	TRUE
GDSC2	CID:3062316	44	0.383161034614236	0.106430519591039	Dasatinib	TRUE
GDSC2	CID:243725	42	0.545214298946992	0.143689211438011	Dihydrorotenone	TRUE
GDSC2	CID:46926350	42	0.542108526144769	0.373929143081105	Dinaciclib	TRUE
GDSC2	CID:148124	48	0.427770469883697	0.160241202258852	Docetaxel	TRUE
GDSC2	CID:56962336	48	0.122734312377256	0.0423928595765409	EPZ004777	FALSE
GDSC2	CID:57345410	48	0.0853121832020495	0.0239185823252327	EPZ5676	FALSE
GDSC2	NAME:ERK2440	42	0.403384757823875	0.142741633712264	ERK_2440	TRUE
GDSC2	NAME:ERK6604	42	0.390438495199231	0.129536795635057	ERK_6604	TRUE
GDSC2	NAME:E59814	42	0.381064854420099	0.16921013454956	Eg5_9814	TRUE
GDSC2	CID:442205	41	0.158714587903263	0.0784709452299193	Elephantin	FALSE
GDSC2	CID:4261	42	0.507775088177869	0.0915391583527482	Entinostat	TRUE
GDSC2	CID:59473233	42	0.286484965262922	0.108978017491946	Entospletinib	TRUE
GDSC2	CID:41867	44	0.391153810244216	0.155672669322587	Epirubicin	TRUE
GDSC2	CID:176871	44	0.506851035539846	0.0988914139260227	Erlotinib	TRUE
GDSC2	CID:42642645	44	0.502043235619691	0.196259321575231	Foretinib	TRUE
GDSC2	CID:104741	48	0.154491325122222	0.0300365204357558	Fulvestrant	FALSE
GDSC2	CID:56941241	44	0.224998847701119	0.0290802148452043	GDC0810	TRUE
GDSC2	CID:70676303	41	0.556383528061433	0.321047476052567	GNE-317	TRUE
GDSC2	CID:25124816	48	0.194232591920651	0.0667018162157651	GSK-1904529A	FALSE
GDSC2	CID:68107965	44	0.127414872141237	0.0263788955634309	GSK2578215A	FALSE
GDSC2	CID:53469448	42	0.182154975980867	0.0614810120013697	GSK2606414	FALSE
GDSC2	CID:71268957	42	0.186493666696952	0.0341225504362271	GSK343	FALSE
GDSC2	CID:117072552	44	0.175354010783345	0.0700171634925521	GSK591	FALSE
GDSC2	CID:353472	42	0.147093043038334	0.0403832123723347	Gallibiscoquinazole	FALSE
GDSC2	CID:123631	44	0.498439432473056	0.0640895275379138	Gefitinib	TRUE
GDSC2	CID:356653	44	0.57405216783652	0.233897822552855	Gemcitabine	TRUE
GDSC2	CID:91668541	44	0.121596761080186	0.0217021872315383	I-BRD9	FALSE
GDSC2	NAME:IAP5620	42	0.783969237627727	0.0218943258686843	IAP_5620	TRUE
GDSC2	NAME:IGF1R3801	42	0.546926363304337	0.214056261643462	IGF1R_3801	TRUE
GDSC2	NAME:IRAK44710	41	0.122752363560063	0.0373230273874512	IRAK4_4710	FALSE
GDSC2	CID:2155128	41	0.230765426710469	0.0504184987904814	IWP-2	TRUE
GDSC2	CID:24821094	42	0.564073358060414	0.0628562349565836	Ibrutinib	TRUE
GDSC2	CID:24788740	44	0.237924211706889	0.0942212614651888	Ipatasertib	TRUE
GDSC2	CID:60838	48	0.271619915498852	0.0774173577395825	Irinotecan	TRUE
GDSC2	NAME:JAK18709	42	0.161502810878291	0.0532777024246301	JAK1_8709	FALSE
GDSC2	NAME:JAK8517	42	0.324002119786956	0.073093690627761	JAK_8517	TRUE
GDSC2	NAME:KRASG12CI12	42	0.238458303819742	0.0620224410535038	KRAS (G12C) Inhibitor-12	TRUE
GDSC2	CID:24737642	42	0.203358008329033	0.0654676708683298	LCL161	TRUE
GDSC2	CID:46926973	48	0.197454755898265	0.0729431209376378	LGK974	FALSE
GDSC2	CID:118704762	44	0.167167307216969	0.0237546096079066	LJI308	FALSE
GDSC2	CID:11655119	42	0.0953125	0	LY2109761	FALSE
GDSC2	CID:208908	44	0.455198540974459	0.0707587568700777	Lapatinib	TRUE
GDSC2	CID:3899	42	0.221011511125575	0.109148737110193	Leflunomide	TRUE
GDSC2	CID:11640390	48	0.212973460097623	0.09624415516078	Linsitinib	TRUE
GDSC2	CID:10096043	48	0.539809983534411	0.213298912149277	Luminespib	TRUE
GDSC2	CID:135691163	44	0.158846166195964	0.0769360020525301	MIM1	FALSE
GDSC2	CID:46930998	44	0.255416306294864	0.110770631927069	MK-2206	TRUE
GDSC2	CID:16224745	44	0.170339145856787	0.0397692514714915	MK-8776	FALSE
GDSC2	CID:60167849	42	0.139956921269701	0.0620299464896633	ML323	FALSE
GDSC2	CID:2802462	42	0.201211482512766	0.0475267170334928	MN-64	TRUE
GDSC2	CID:1206243	42	0.23773003370977	0.048009513701568	Mirin	TRUE
GDSC2	CID:4212	42	0.548432244963304	0.152661844001685	Mitoxantrone	TRUE
GDSC2	CID:46943432	42	0.200611107701893	0.0839363437667857	Molibresib	TRUE
GDSC2	CID:227681	44	0.0473696981347629	0	NSC19630	FALSE
GDSC2	CID:9825149	44	0.341752428360275	0.0668451468606087	NVP-ADW742	TRUE
GDSC2	CID:24978538	44	0.409528330579841	0.0946735624577175	Navitoclax	TRUE
GDSC2	CID:3011155	42	0.129790586923297	0.00219658841301484	Nelarabine	FALSE
GDSC2	CID:644241	44	0.0816579416916964	0.0134395232690174	Nilotinib	FALSE
GDSC2	CID:24958200	42	0.229391408124425	0.0535760724244756	Niraparib	TRUE
GDSC2	NAME:N3	44	0.137564868666549	0.0143024900096234	Nutlin-3a (-)	FALSE
GDSC2	CID:35397514	42	0.253070287430597	0.0683579695502499	OF-1	TRUE
GDSC2	CID:9936746	42	0.381486297582025	0.155169579245408	OTX015	TRUE
GDSC2	CID:16681698	42	0.398773670854888	0.1751238264586	Obatoclax	TRUE
GDSC2	CID:23725625	44	0.155167408266097	0.0566926722275917	Olaparib	FALSE
GDSC2	CID:44224160	10	0.117448805614531	0.0435931555561442	Osi-027	FALSE
GDSC2	CID:71496458	44	0.515177470634065	0.0613110751829253	Osimertinib	TRUE
GDSC2	CID:24197464	48	0.174086751989896	0.0408920358963418	Oxaliplatin	FALSE
GDSC2	CID:46931953	44	0.178354077748684	0.0163886040684205	P22077	FALSE
GDSC2	NAME:PAK5339	41	0.356882778619762	0.145781938693217	PAK_5339	TRUE
GDSC2	CID:24753719	42	0.130220366728647	0.0314929624292547	PCI-34051	FALSE
GDSC2	CID:1401	44	0.0926719576075411	0	PD 173074	FALSE
GDSC2	CID:9826528	48	0.238515426791809	0.0774921380897691	PD-0325901	TRUE
GDSC2	CID:78243717	42	0.0909895558728616	0.0203942069843303	PFI-3	FALSE
GDSC2	CID:24180719	47	0.132913148700352	0.0324810912647	PLX4720	FALSE
GDSC2	CID:52918385	42	0.184696503405345	0.0511078270225105	PRIMA-1-Met	FALSE
GDSC2	CID:44462758	42	0.24219265248484	0.0957414616215216	PRT062607	TRUE
GDSC2	CID:36314	44	0.146172564121267	0.0115363942826017	Paclitaxel	FALSE
GDSC2	CID:5330286	44	0.22282377375172	0.0744034360032964	Palbociclib	TRUE
GDSC2	CID:71729979	44	0.473026445239549	0.198928246393607	Pevonedistat	TRUE
GDSC2	CID:17755052	44	0.414226663834015	0.203617049099221	Pictilisib	TRUE
GDSC2	CID:234820	42	0.35655041911234	0.151143408005021	Podophyllotoxin bromide	TRUE
GDSC2	CID:25227847	44	0.172906684866774	0.0446166565951956	Pyridostatin	FALSE
GDSC2	CID:135564749	42	0.135873682057938	0.0453267848427808	RVX-208	FALSE
GDSC2	CID:25126798	41	0.187461446492134	0.069050310078984	Ruxolitinib	FALSE
GDSC2	CID:24866313	48	0.318356957989713	0.125097634069399	SCH772984	TRUE
GDSC2	CID:46236925	42	0.648977779300371	0.372153695332777	Sabutoclax	TRUE
GDSC2	CID:11488320	48	0.628120310988503	0.100474969497584	Sapitinib	TRUE
GDSC2	CID:68289010	44	0.172059113133273	0.062007852523885	Savolitinib	FALSE
