pair	CTRPv2	GDSC2	PRISM
CID:100802::CSRNP1	FALSE	FALSE	TRUE
CID:100802::NCOA7	FALSE	FALSE	TRUE
CID:10096043::MAGED2	FALSE	TRUE	FALSE
CID:10096043::NR3C2	FALSE	TRUE	FALSE
CID:10096043::ZBTB18	FALSE	TRUE	FALSE
CID:10096043::ZNF19	FALSE	TRUE	FALSE
CID:10096043::ZNF254	FALSE	TRUE	FALSE
CID:10096043::ZNF341	FALSE	TRUE	FALSE
CID:10096043::ZNF444	FALSE	TRUE	FALSE
CID:10096043::ZNF678	FALSE	TRUE	FALSE
CID:10184653::ELF3	FALSE	TRUE	FALSE
CID:10184653::FOXD2	FALSE	FALSE	TRUE
CID:10184653::WWC2	FALSE	FALSE	TRUE
CID:10275789::ZNF254	FALSE	FALSE	TRUE
CID:10297043::NCOA7	FALSE	FALSE	TRUE
CID:10302451::XBP1	TRUE	FALSE	FALSE
CID:10302451::ZNF281	TRUE	FALSE	FALSE
CID:10309899::ZNF254	FALSE	FALSE	TRUE
CID:10367662::E2F5	FALSE	FALSE	TRUE
CID:10385095::ABHD14B	FALSE	TRUE	FALSE
CID:10385095::FOXD2	FALSE	TRUE	FALSE
CID:10461815::ZNF117	FALSE	FALSE	TRUE
CID:104842::ZNF678	FALSE	FALSE	TRUE
CID:104920::ZNF254	FALSE	FALSE	TRUE
CID:11152667::ZBTB18	FALSE	TRUE	FALSE
CID:11152667::ZNF254	FALSE	TRUE	FALSE
CID:11152667::ZNF540	FALSE	TRUE	FALSE
CID:11152667::ZNF678	FALSE	TRUE	FALSE
CID:11175137::ELF3	TRUE	FALSE	FALSE
CID:11175137::ZNF19	TRUE	FALSE	FALSE
CID:11178236::FOXA3	FALSE	FALSE	TRUE
CID:11199742::WWC2	FALSE	FALSE	TRUE
CID:11214940::ZNF117	FALSE	FALSE	TRUE
CID:11222830::FOXA3	TRUE	FALSE	FALSE
CID:11228183::ZNF141	FALSE	TRUE	FALSE
CID:11315474::ZNF444	FALSE	FALSE	TRUE
CID:11364421::MAGED2	TRUE	FALSE	FALSE
CID:11364421::NR3C2	TRUE	FALSE	FALSE
CID:11427553::ELF3	TRUE	FALSE	FALSE
CID:11427553::ZNF341	TRUE	FALSE	FALSE
CID:11427553::ZNF444	TRUE	FALSE	FALSE
CID:11455910::PHC2	TRUE	FALSE	FALSE
CID:11455910::ZNF341	TRUE	FALSE	FALSE
CID:11488320::E2F5	FALSE	TRUE	FALSE
CID:11511120::NCOA7	FALSE	FALSE	TRUE
CID:11525740::NR3C2	TRUE	FALSE	FALSE
CID:11538455::ZNF254	FALSE	FALSE	TRUE
CID:11556711::ZNF75D	FALSE	FALSE	TRUE
CID:11599836::XBP1	FALSE	FALSE	TRUE
CID:11620908::ZNF254	FALSE	FALSE	TRUE
CID:11647372::ZNF254	FALSE	FALSE	TRUE
CID:11647372::ZNF444	FALSE	FALSE	TRUE
CID:11703255::ABHD14B	FALSE	FALSE	TRUE
CID:11707110::ZNF678	FALSE	FALSE	TRUE
CID:11719003::MAGED2	FALSE	TRUE	FALSE
CID:119607::ELF3	TRUE	FALSE	FALSE
CID:119607::ZNF341	TRUE	FALSE	FALSE
CID:119607::ZNF444	TRUE	FALSE	FALSE
