cohort	cohort_label	system	TF	n	pearson_r	p_value	FDR	anchor_display_support
TCGA_LUAD	TCGA patients	Patient	ABHD14B	516	-0.531740088335827	5.32300822054367e-39	8.25066274184269e-38	TRUE
TCGA_LUAD	TCGA patients	Patient	CREB3L2	516	-0.0457757139331468	0.299341445285147	0.33141374299427	FALSE
TCGA_LUAD	TCGA patients	Patient	CREBRF	516	-0.373981439758961	1.42024013612184e-18	3.3867264784444e-18	FALSE
TCGA_LUAD	TCGA patients	Patient	CRY2	516	-0.503642120164075	1.53854314969327e-34	9.53896752809827e-34	TRUE
TCGA_LUAD	TCGA patients	Patient	CSRNP1	516	-0.444580073182725	2.07136106829571e-26	8.02652413964589e-26	TRUE
TCGA_LUAD	TCGA patients	Patient	E2F5	516	-0.0328668462037592	0.456282667663397	0.471968778193343	FALSE
TCGA_LUAD	TCGA patients	Patient	ELF3	516	-0.382186271979572	2.16363776934617e-19	6.09752462270283e-19	FALSE
TCGA_LUAD	TCGA patients	Patient	ETV1	516	-0.332408761720069	8.89422367498707e-15	1.75678640254362e-14	FALSE
TCGA_LUAD	TCGA patients	Patient	FOXA3	516	-0.244233788783079	1.91182821664523e-08	2.96333373580011e-08	FALSE
TCGA_LUAD	TCGA patients	Patient	FOXD2	516	-0.292108055221839	1.31044302842204e-11	2.25687410450462e-11	FALSE
TCGA_LUAD	TCGA patients	Patient	MAGED2	516	-0.517766650913873	9.92298391001228e-37	7.69031253025951e-36	TRUE
TCGA_LUAD	TCGA patients	Patient	MXD4	516	-0.500688281966706	4.28941024493304e-34	1.89959596561321e-33	TRUE
TCGA_LUAD	TCGA patients	Patient	NCOA7	516	-0.35362205253559	1.207483842031e-16	2.67371422164008e-16	FALSE
TCGA_LUAD	TCGA patients	Patient	NFATC4	516	-0.103779228591915	0.0183705251237654	0.0210920844013603	FALSE
TCGA_LUAD	TCGA patients	Patient	NR3C2	516	-0.527226128366358	2.95931776934395e-38	3.05796169498875e-37	TRUE
TCGA_LUAD	TCGA patients	Patient	PHC2	516	-0.120208803661061	0.00625858572833196	0.00776064630313163	FALSE
TCGA_LUAD	TCGA patients	Patient	WWC2	516	-0.107629959007868	0.0144425938685411	0.0172200157663375	FALSE
