cohort	cohort_label	system	TF	n	skewness	z	p_value	FDR
TCGA_LUAD	TCGA patients	Patient	ABHD14B	516	-0.815347210123975	-7.56121896805651	3.99309375041735e-14	3.09464765657345e-13
TCGA_LUAD	TCGA patients	Patient	CREB3L2	516	-0.216719459764301	-2.00977359040406	0.0444551571539602	0.0765616595429315
TCGA_LUAD	TCGA patients	Patient	CREBRF	516	0.269005965197148	2.49465869425094	0.0126078335461381	0.0260561893286855
TCGA_LUAD	TCGA patients	Patient	CRY2	516	0.0575616730023946	0.533804995386682	0.59347645729533	0.634405868143284
TCGA_LUAD	TCGA patients	Patient	CSRNP1	516	-0.225872000991041	-2.09465076600514	0.0362020488565952	0.0660155008561442
TCGA_LUAD	TCGA patients	Patient	E2F5	516	0.312746684437092	2.90029343720077	0.00372813469787598	0.00889016735647349
TCGA_LUAD	TCGA patients	Patient	ELF3	516	-1.14126512388175	-10.583657361094	3.54831188461147e-26	5.49988342114777e-25
TCGA_LUAD	TCGA patients	Patient	ETV1	516	-0.282098280909498	-2.61607183538987	0.00889478421438286	0.019695593617562
TCGA_LUAD	TCGA patients	Patient	FOXA3	516	0.227982145216486	2.11421943852239	0.0344965293705597	0.0660155008561442
TCGA_LUAD	TCGA patients	Patient	FOXD2	516	-0.750503913646915	-6.95988697453794	3.40545842020959e-12	2.11138422052995e-11
TCGA_LUAD	TCGA patients	Patient	MAGED2	516	-1.04821065621786	-9.72070572867761	2.46070041893598e-22	2.54272376623384e-21
TCGA_LUAD	TCGA patients	Patient	MXD4	516	-0.626713423565625	-5.81190119615361	6.17672948155948e-09	2.73540877040491e-08
TCGA_LUAD	TCGA patients	Patient	NCOA7	516	-0.689786254992137	-6.39681457223379	1.5865179505427e-10	8.1970094111373e-10
TCGA_LUAD	TCGA patients	Patient	NFATC4	516	-0.0409983497575357	-0.380203054596285	0.703794691965476	0.727254515030992
TCGA_LUAD	TCGA patients	Patient	NR3C2	516	-0.366270555055176	-3.39665339371516	0.000682153121085298	0.00211467467536442
TCGA_LUAD	TCGA patients	Patient	PHC2	516	-1.35977922028488	-12.6100737270245	1.85819107865817e-36	5.76039234384033e-35
TCGA_LUAD	TCGA patients	Patient	WWC2	516	-0.111408969024863	-1.03316427571308	0.301527027904311	0.333833495179773
TCGA_LUAD	TCGA patients	Patient	XBP1	516	-0.153511136326577	-1.42360371310271	0.15456122039144	0.189815800620053
TCGA_LUAD	TCGA patients	Patient	ZBTB18	516	-0.339121927311011	-3.14488737733954	0.00166150778997139	0.00468243104446484
TCGA_LUAD	TCGA patients	Patient	ZNF117	516	0.141199972463679	1.30943467620266	0.190387151791826	0.218592655760985
TCGA_LUAD	TCGA patients	Patient	ZNF141	516	0.621607660519604	5.76455229753641	8.18748876850368e-09	3.17265189779518e-08
TCGA_LUAD	TCGA patients	Patient	ZNF19	516	-0.313595285803055	-2.90816304252348	0.00363558736803624	0.00889016735647349
TCGA_LUAD	TCGA patients	Patient	ZNF254	516	0.170169489648132	1.57808692656998	0.114545641188483	0.14955926031666
TCGA_LUAD	TCGA patients	Patient	ZNF281	516	0.209177246079556	1.93982997808023	0.0524003561102809	0.0854953178641425
TCGA_LUAD	TCGA patients	Patient	ZNF33A	516	-0.151803319921391	-1.40776607530066	0.159200348907141	0.189815800620053
TCGA_LUAD	TCGA patients	Patient	ZNF33B	516	0.169588828367872	1.57270209538174	0.115787814438704	0.14955926031666
TCGA_LUAD	TCGA patients	Patient	ZNF341	516	-0.508513881974556	-4.71576374109556	2.40805735323229e-06	8.29441977224457e-06
TCGA_LUAD	TCGA patients	Patient	ZNF444	516	-0.190338925841587	-1.76513058309733	0.0775418217802894	0.109263476144953
TCGA_LUAD	TCGA patients	Patient	ZNF540	516	-0.0328390612974058	-0.304536926222339	0.760718864763973	0.760718864763973
TCGA_LUAD	TCGA patients	Patient	ZNF678	516	0.19059758810527	1.76752931824991	0.0771396234741145	0.109263476144953
TCGA_LUAD	TCGA patients	Patient	ZNF75D	516	0.194353295304996	1.80235831400095	0.0714890492923017	0.109263476144953
GSE41271_LUAD	GSE41271 patients	Independent patient	ABHD14B	183	-0.110604743808185	-0.610834662787453	0.541309043224122	0.662180183339183
GSE41271_LUAD	GSE41271 patients	Independent patient	CREB3L2	183	-1.26467100412694	-6.98437390427537	2.86129097764516e-12	8.87000203069999e-11
GSE41271_LUAD	GSE41271 patients	Independent patient	CREBRF	183	-0.238813832013764	-1.31889249524497	0.187205055460514	0.322408706626441
GSE41271_LUAD	GSE41271 patients	Independent patient	CRY2	183	0.14053761335584	0.776144338004568	0.437663767033997	0.565315699085579
GSE41271_LUAD	GSE41271 patients	Independent patient	CSRNP1	183	-0.437041796923992	-2.41364221331287	0.0157939629723399	0.0376625270878874
GSE41271_LUAD	GSE41271 patients	Independent patient	E2F5	183	-0.853262573093369	-4.7122965811352	2.44940541136886e-06	1.5186313550487e-05
GSE41271_LUAD	GSE41271 patients	Independent patient	ELF3	183	-1.03596709431462	-5.72131527931575	1.05702539172497e-08	1.63838935717371e-07
GSE41271_LUAD	GSE41271 patients	Independent patient	ETV1	183	-0.275647914259949	-1.52231536331791	0.127930080363705	0.264388832751657
GSE41271_LUAD	GSE41271 patients	Independent patient	FOXA3	183	-0.0102257968030348	-0.0564738086889595	0.95496435985621	0.95496435985621
GSE41271_LUAD	GSE41271 patients	Independent patient	FOXD2	183	-0.22180598835008	-1.22496360855033	0.22058893224412	0.359908257871985
GSE41271_LUAD	GSE41271 patients	Independent patient	MAGED2	183	-0.165530492888985	-0.914172026655891	0.360626460416312	0.532353346328842
GSE41271_LUAD	GSE41271 patients	Independent patient	MXD4	183	-0.0181933218554354	-0.100475903997584	0.919966511842035	0.950632062236769
GSE41271_LUAD	GSE41271 patients	Independent patient	NCOA7	183	-0.893881375769652	-4.93662125095791	7.94876260465662e-07	6.16029101860888e-06
GSE41271_LUAD	GSE41271 patients	Independent patient	NFATC4	183	0.780408216930666	4.3099452483893	1.6329497006053e-05	8.43690678646069e-05
GSE41271_LUAD	GSE41271 patients	Independent patient	NR3C2	183	-0.521236031621506	-2.87862007221279	0.00399419199081861	0.0112563592468524
GSE41271_LUAD	GSE41271 patients	Independent patient	PHC2	183	-0.756547103610085	-4.17816794294038	2.93866637257767e-05	0.000130140939357011
GSE41271_LUAD	GSE41271 patients	Independent patient	WWC2	183	-0.558082226819716	-3.08210983624978	0.00205538981344284	0.007964635527091
GSE41271_LUAD	GSE41271 patients	Independent patient	XBP1	183	-0.145961864924323	-0.806100746415537	0.420184761241545	0.565315699085579
GSE41271_LUAD	GSE41271 patients	Independent patient	ZBTB18	183	-0.268517214115025	-1.48293478461491	0.138091738497171	0.267552743338269
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF117	183	0.373958234620581	2.06525185336716	0.0388991765402893	0.0861338909106406
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF141	183	0.198013801868195	1.09356696401	0.274144944824418	0.424924664477847
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF19	183	0.0543078854329449	0.299925100343461	0.76423428789669	0.816940100855082
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF254	183	-0.545402169153647	-3.01208192892953	0.00259462559686911	0.00863496210950147
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF281	183	-0.0715548879848941	-0.395174785168775	0.692713899990847	0.766933246418438
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF33A	183	-0.261990416753271	-1.44688936804161	0.14792791135711	0.269750897180612
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF33B	183	-0.897471898742241	-4.95645056219429	7.17926239848984e-07	6.16029101860888e-06
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF341	183	0.541489127859567	2.99047145204539	0.00278547164822628	0.00863496210950147
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF444	183	0.106781873609132	0.589722172052261	0.555376927961895	0.662180183339183
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF540	183	-0.0802842376696429	-0.443384194525435	0.657487866193367	0.754893475999791
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF678	183	-0.451194198395306	-2.49180140506828	0.0127097079782913	0.0328334122772524
GSE41271_LUAD	GSE41271 patients	Independent patient	ZNF75D	183	-0.14213715801466	-0.784978112114458	0.432466401827073	0.565315699085579
