cohort	cohort_label	score	TF	n	pearson_r	p_value	FDR	anchor_display_support
TCGA_LUAD	TCGA patients	StromalScore	ABHD14B	516	-0.140269119016034	0.00140131089741092	0.00167079376229764	FALSE
TCGA_LUAD	TCGA patients	StromalScore	CREB3L2	516	0.341026540021663	1.61340744007117e-15	1.00031261284412e-14	FALSE
TCGA_LUAD	TCGA patients	StromalScore	CREBRF	516	0.342078927414395	1.30500638705593e-15	1.00031261284412e-14	FALSE
TCGA_LUAD	TCGA patients	StromalScore	CRY2	516	0.120827889940183	0.00599416312790586	0.00663639489161006	FALSE
TCGA_LUAD	TCGA patients	StromalScore	CSRNP1	516	0.327966769819633	2.10004471741241e-14	1.08502310399641e-13	FALSE
TCGA_LUAD	TCGA patients	StromalScore	E2F5	516	-0.234185703843237	7.37478915024748e-08	1.52412309105115e-07	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ELF3	516	-0.317706954564277	1.44875742352172e-13	6.41592573273905e-13	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ETV1	516	0.475727535363616	1.68580620237669e-30	5.22599922736774e-29	TRUE
TCGA_LUAD	TCGA patients	StromalScore	FOXA3	516	-0.279899982047396	9.6393143088807e-11	2.98818743575302e-10	FALSE
TCGA_LUAD	TCGA patients	StromalScore	FOXD2	516	-0.00247729574886301	0.955232704619391	0.955232704619391	FALSE
TCGA_LUAD	TCGA patients	StromalScore	MAGED2	516	-0.228145406549657	1.61317954451243e-07	3.12553536749283e-07	FALSE
TCGA_LUAD	TCGA patients	StromalScore	MXD4	516	-0.0542571390704477	0.218546332978714	0.225831210744671	FALSE
TCGA_LUAD	TCGA patients	StromalScore	NCOA7	516	0.278236473687522	1.25574192613556e-10	3.53890906456385e-10	FALSE
TCGA_LUAD	TCGA patients	StromalScore	NFATC4	516	-0.259953598839551	2.04689420789047e-09	4.88105541881572e-09	FALSE
TCGA_LUAD	TCGA patients	StromalScore	NR3C2	516	0.188161547293512	1.69010695062688e-05	2.38151433951969e-05	FALSE
TCGA_LUAD	TCGA patients	StromalScore	PHC2	516	0.295570516127029	7.31027040233247e-12	2.83272978090383e-11	FALSE
TCGA_LUAD	TCGA patients	StromalScore	WWC2	516	0.399154526546166	3.71784390846528e-21	5.76265805812118e-20	FALSE
TCGA_LUAD	TCGA patients	StromalScore	XBP1	516	0.142003964608259	0.00121944864923337	0.00151211632504938	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZBTB18	516	-0.142342320793672	0.00118661795332126	0.00151211632504938	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF117	516	-0.15836764609126	0.000304415763145832	0.00041029950684873	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF141	516	-0.19126329654984	1.21666709156894e-05	1.79603237326844e-05	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF19	516	-0.294740766329912	8.41378770370541e-12	2.89808243127631e-11	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF254	516	-0.201932724090083	3.77099765203281e-06	5.84504636065085e-06	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF281	516	-0.122550227234932	0.00531051392442163	0.00609725672803964	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF33A	516	-0.217415561080974	6.14746816634024e-07	1.08023256460123e-06	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF33B	516	-0.261309911766013	1.67605568131993e-09	4.32981051007648e-09	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF341	516	-0.217250121110121	6.27231811703941e-07	1.08023256460123e-06	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF444	516	-0.350451452207221	2.34468542100109e-16	2.42284160170112e-15	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF540	516	0.212815500257805	1.06890571653874e-06	1.74400406382636e-06	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF678	516	-0.24958437496591	9.08878857960392e-09	2.01251747119801e-08	FALSE
TCGA_LUAD	TCGA patients	StromalScore	ZNF75D	516	-0.0742803917920669	0.0918799516007473	0.0982164999870058	FALSE
