canonical_drug	CTRPv2	GDSC2	PRISM
CID:10026128	TRUE	FALSE	FALSE
CID:10027278	FALSE	FALSE	TRUE
CID:10029385	FALSE	FALSE	TRUE
CID:10052040	FALSE	FALSE	TRUE
CID:10074640	TRUE	FALSE	TRUE
CID:10077130	TRUE	FALSE	FALSE
CID:100802	FALSE	FALSE	TRUE
CID:10090485	TRUE	FALSE	FALSE
CID:10096043	FALSE	TRUE	TRUE
CID:10099206	FALSE	FALSE	TRUE
CID:10127622	TRUE	TRUE	TRUE
CID:10138259	FALSE	FALSE	TRUE
CID:10152654	FALSE	FALSE	TRUE
CID:10158940	FALSE	FALSE	TRUE
CID:10160238	FALSE	FALSE	TRUE
CID:10173277	FALSE	FALSE	TRUE
CID:10177	FALSE	FALSE	TRUE
CID:1018	FALSE	TRUE	TRUE
CID:10184653	TRUE	TRUE	TRUE
CID:10202642	FALSE	FALSE	TRUE
CID:102041119	FALSE	FALSE	TRUE
CID:10219	FALSE	FALSE	TRUE
CID:10224714	FALSE	FALSE	TRUE
CID:10231331	TRUE	FALSE	TRUE
CID:10253143	FALSE	FALSE	TRUE
CID:10275789	FALSE	FALSE	TRUE
CID:10286159	FALSE	FALSE	TRUE
CID:10288191	FALSE	FALSE	TRUE
CID:10294813	FALSE	FALSE	TRUE
CID:10296561	FALSE	FALSE	TRUE
CID:10296883	TRUE	FALSE	FALSE
CID:10297043	FALSE	FALSE	TRUE
CID:10302451	TRUE	FALSE	TRUE
CID:10309899	FALSE	FALSE	TRUE
CID:10313094	FALSE	FALSE	TRUE
CID:10322450	TRUE	FALSE	FALSE
CID:10331844	FALSE	FALSE	TRUE
CID:10341154	FALSE	FALSE	TRUE
CID:10366136	FALSE	FALSE	TRUE
CID:10367662	FALSE	FALSE	TRUE
CID:10385095	TRUE	TRUE	FALSE
CID:10390396	TRUE	TRUE	FALSE
CID:10410894	TRUE	FALSE	TRUE
CID:10427712	TRUE	FALSE	TRUE
CID:10436839	FALSE	FALSE	TRUE
CID:10437018	FALSE	FALSE	TRUE
CID:10458325	FALSE	FALSE	TRUE
CID:10461508	FALSE	FALSE	TRUE
CID:10461815	FALSE	FALSE	TRUE
CID:104741	TRUE	TRUE	TRUE
CID:104842	TRUE	FALSE	TRUE
CID:104865	FALSE	FALSE	TRUE
CID:104920	FALSE	FALSE	TRUE
CID:10494	FALSE	FALSE	TRUE
CID:104955	FALSE	FALSE	TRUE
CID:10607	FALSE	FALSE	TRUE
