dataset	canonical_drug	drug_name	TF	n	spearman_rho_recomputed	reported_FDR
GDSC2	CID:11977753	Dactolisib	ZNF254	44	-0.488090204369274	0.00274770645836196
PRISM	CID:11977753	Dactolisib	ZNF254	45	-0.399604743083004	0.0335450169932947
CTRPv2	CID:3385	5-Fluorouracil	ZNF254	56	-0.403035068273649	0.0137406354767587
GDSC2	CID:3385	5-Fluorouracil	ZNF254	48	-0.421778311029786	0.00407617844808912
CTRPv2	CID:3385	5-Fluorouracil	ZNF540	56	-0.387517944715623	0.0467502377903062
GDSC2	CID:3385	5-Fluorouracil	ZNF540	48	-0.391271308352986	0.00903699446481355
CTRPv2	CID:46191454	Pha-793887	WWC2	57	-0.385921700803734	0.0171952460556121
PRISM	CID:46191454	Pha-793887	WWC2	45	-0.48914654659429	0.0280280935813803
GDSC2	CID:5311	Vorinostat	ZNF254	44	-0.527836504580691	0.00214899813041892
PRISM	CID:5311	Vorinostat	ZNF254	45	-0.439525691699605	0.00179353418845459
