TF	NES	size	p.value	FDR
MEF2D	3.46328410490281	39	0.000533624633995928	0.438312945784872
SMAD3	3.21121051630519	10	0.00132177067349972	0.438312945784872
GRHL1	3.17398164319272	19	0.00150363200077651	0.438312945784872
SOX8	3.15531264089411	49	0.00160326202708678	0.438312945784872
SOX13	3.13664696624947	47	0.00170891764054852	0.438312945784872
SRF	3.11817533708428	5	0.00181974509131358	0.438312945784872
ZNF697	3.10409416270052	22	0.00190862575992055	0.438312945784872
BSX	-3.0451201956964	37	0.00232587337339886	0.438312945784872
ATOH7	-3.03558006590147	42	0.00240073472969501	0.438312945784872
NCOR2	3.01749605708508	31	0.00254872356737041	0.438312945784872
DMRT2	-3.00329633129173	53	0.00267072242628049	0.438312945784872
SKI	2.95134246011635	17	0.00316395902293084	0.438312945784872
ELK3	2.94280444981572	31	0.00325253797690471	0.438312945784872
AHR	2.91481632993036	23	0.00355897927690312	0.438312945784872
MYRF	2.91304999451472	71	0.00357917293656327	0.438312945784872
PIAS3	2.87758767870583	38	0.00400728532409412	0.438312945784872
BCL9L	2.86985756083596	36	0.00410656742091001	0.438312945784872
PPP1R13L	2.85511435468596	45	0.00430213353953618	0.438312945784872
HOXC4	2.85376501393172	22	0.00432044757362258	0.438312945784872
HOXC13	2.83948800798368	24	0.00451859934801209	0.438312945784872
FOXC1	2.83806854075053	17	0.00453874352144098	0.438312945784872
ONECUT3	2.82096077562314	20	0.00478800568874299	0.441367069853218
STOX1	-2.77886999438473	36	0.00545483517485613	0.466903327619828
ZNF552	-2.77468715415206	27	0.00552548316709855	0.466903327619828
FIGLA	-2.75015255864803	22	0.00595675244885986	0.479342659474379
ZBTB48	2.73991975141668	34	0.00614541871120998	0.479342659474379
ETV5	2.65180226667853	40	0.0080063414024716	0.570275213025575
EBF2	2.6457419045803	5	0.00815119823639999	0.570275213025575
TBX18	2.63941837900565	10	0.00830484187547322	0.570275213025575
MAFK	2.63292045938809	28	0.00846541699322758	0.570275213025575
SOX21	2.62105983438242	12	0.00876568756962648	0.570275213025575
PPARD	2.61211395590751	20	0.00899842545208009	0.570275213025575
CIART	2.58637657122019	11	0.00969909011872226	0.59605317456875
PRRX1	2.57193231884865	32	0.0101132660380606	0.596881803354303
TESMIN	-2.56555076759581	69	0.0103012145549313	0.596881803354303
NPAS2	2.53750539908028	30	0.0111645645989493	0.599914019207875
MIXL1	-2.52978756150052	16	0.0114131606642334	0.599914019207875
EN1	2.51926232345182	6	0.0117601005872005	0.599914019207875
NEUROG2	-2.51047042735151	29	0.0120570420521236	0.599914019207875
