#Name (cmd = mergePeaks /media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/bg.clean.pos /media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/target.clean..pos -d given -cobound 1 -prefix /media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/0.0279205453853173.2.tmp)	chr	start	end	strand	stat	stat2	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/target.clean..pos
BGbg_5	chr1	1116118	1116414	+	0.000	0.000	target_1
BGbg_6	chr1	1231926	1232257	+	0.000	0.000	target_2
BGbg_7	chr1	1273778	1273928	+	0.000	0.000	target_3
BGbg_8	chr1	1375158	1375569	+	0.000	0.000	target_4
BGbg_9	chr1	1399371	1399621	+	0.000	0.000	target_5
BGbg_1001	chr1	159780568	159780946	+	0.000	0.000	target_691
BGbg_1004	chr1	159925441	159925689	+	0.000	0.000	target_692
BGbg_1005	chr1	160031803	160032146	+	0.000	0.000	target_693
BGbg_1006	chr1	160032266	160032416	+	0.000	0.000	target_694
BGbg_1007	chr1	160098977	160099158	+	0.000	0.000	target_695
BGbg_1008	chr1	160262406	160262658	+	0.000	0.000	target_696
BGbg_1009	chr1	160285099	160285262	+	0.000	0.000	target_697
BGbg_1010	chr1	160343180	160343443	+	0.000	0.000	target_698
BGbg_1011	chr1	160376662	160376812	+	0.000	0.000	target_699
BGbg_1012	chr1	160954299	160954449	+	0.000	0.000	target_700
BGbg_1013	chr1	161021147	161021542	+	0.000	0.000	target_701
BGbg_1015	chr1	161119676	161119871	+	0.000	0.000	target_702
BGbg_1016	chr1	161132473	161133004	+	0.000	0.000	target_703
BGbg_1017	chr1	161153889	161154123	+	0.000	0.000	target_704
BGbg_1019	chr1	161159337	161159540	+	0.000	0.000	target_705
BGbg_1020	chr1	161166021	161166585	+	0.000	0.000	target_706
BGbg_1021	chr1	161177389	161177673	+	0.000	0.000	target_707
BGbg_1022	chr1	161202123	161202457	+	0.000	0.000	target_708
BGbg_1023	chr1	161225650	161226125	+	0.000	0.000	target_709
BGbg_1024	chr1	161314280	161314480	+	0.000	0.000	target_710
BGbg_1025	chr1	161367815	161367993	+	0.000	0.000	target_711
BGbg_1026	chr1	161389793	161390099	+	0.000	0.000	target_712
BGbg_1027	chr1	161390160	161390310	+	0.000	0.000	target_713
BGbg_1028	chr1	161399502	161399827	+	0.000	0.000	target_714
BGbg_1030	chr1	161421946	161422303	+	0.000	0.000	target_715
BGbg_1031	chr1	161530855	161531079	+	0.000	0.000	target_716
BGbg_1033	chr1	161540313	161540463	+	0.000	0.000	target_717
BGbg_1034	chr1	161566181	161566331	+	0.000	0.000	target_718
BGbg_1035	chr1	161612400	161612925	+	0.000	0.000	target_719
BGbg_1036	chr1	161621463	161621689	+	0.000	0.000	target_720
BGbg_1038	chr1	161726921	161727360	+	0.000	0.000	target_721
BGbg_1039	chr1	161749601	161749888	+	0.000	0.000	target_722
BGbg_1040	chr1	161749943	161750093	+	0.000	0.000	target_723
BGbg_1041	chr1	161750188	161750397	+	0.000	0.000	target_724
BGbg_1044	chr1	162056061	162056255	+	0.000	0.000	target_725
BGbg_1045	chr1	162069579	162069767	+	0.000	0.000	target_726
BGbg_1047	chr1	162497716	162497926	+	0.000	0.000	target_727
BGbg_1048	chr1	162561243	162561670	+	0.000	0.000	target_728
BGbg_1049	chr1	162790409	162790595	+	0.000	0.000	target_729
